study_map,season,sp_code,sp_id,tif,sp_common,sp_scientific,study_param,taxonID,scientificName,taxonRank,taxonomicStatus,acceptedNameUsageID,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,parentNameUsageID,originalNameUsageID,scientificNameAuthorship,vernacularName,lower_final_population_sensitivity,best_estimate_final_population_sensitivity,upper_final_population_sensitivity,lower_final_collision_sensitivity_rank,best_estimate_final_collision_sensitivity_rank,upper_final_collision_sensitivity_rank,lower_final_displacement_sensitivity_rank,best_estimate_final_displacement_sensitivity_rank,upper_final_displacement_sensitivity_rank
winship2018,spring,BRPE,GBIF:5229158,BRPE_spring.tif,Brown Pelican,Pelecanus occidentalis,willmott2013,GBIF:5229158,Pelecanus occidentalis,species,accepted,GBIF:5229158,Animalia,Chordata,Aves,Pelecaniformes,Pelecanidae,Pelecanus,occidentalis,NA,10650925,NA,"Linnaeus, 1766",褐鹈鹕,2,2.5,3.03,7.52,8.83,9.66,2.48,4.54,5.98
winship2018,spring,COEI,GBIF:2498352,COEI_spring.tif,Common Eider,Somateria mollissima,willmott2013,GBIF:2498352,Somateria mollissima,species,accepted,GBIF:2498352,Animalia,Chordata,Aves,Anseriformes,Anatidae,Somateria,mollissima,NA,2498349,2498353,"(Linnaeus, 1758)",歐絨鴨,1.63,2,2.44,7.73,8.28,9.24,9.13,9.8,9.95
winship2018,spring,COLO,GBIF:2481962,COLO_spring.tif,Common Loon,Gavia immer,willmott2013,GBIF:2481962,Gavia immer,species,accepted,GBIF:2481962,Animalia,Chordata,Aves,Gaviiformes,Gaviidae,Gavia,immer,NA,2481954,7588211,"(Brunnich, 1764)",普通潜鸟,2.31,2.75,3.06,6.66,7.32,8.41,7.41,8.42,8.89
winship2018,spring,COMU,GBIF:2481342,COMU_spring.tif,Common Murre,Uria aalge,willmott2013,GBIF:2481342,Uria aalge,species,accepted,GBIF:2481342,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Uria,aalge,NA,2481338,7384975,"(Pontoppidan, 1763)",普通海鴉[崖海鴉],1.25,1.75,2.28,6.56,6.81,7.45,5.93,7.46,8.51
winship2018,spring,COSH,GBIF:2481521,COSH_spring.tif,Cory's Shearwater,Calonectris diomedea,willmott2013,GBIF:2481521,Calonectris diomedea,species,accepted,GBIF:2481521,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Calonectris,diomedea,NA,2481517,4408459,"(Scopoli, 1769)",斯氏鹱,2.28,3.5,3.85,6.86,7.41,8.07,1.67,4.06,5.07
winship2018,spring,COTE,GBIF:9367409,COTE_spring.tif,Common Tern,Sterna hirundo,willmott2013,GBIF:9367409,Sterna hirundo,species,accepted,GBIF:9367409,Animalia,Chordata,Aves,Charadriiformes,Laridae,Sterna,hirundo,NA,2481227,NA,"Linnaeus, 1758",普通燕鸥,1.63,2.25,2.88,8.32,9.16,9.58,5.64,8.03,8.94
winship2018,spring,DCCO,GBIF:2481875,DCCO_spring.tif,Double-crested Cormorant,Phalacrocorax auritus,willmott2013,GBIF:2481875,Phalacrocorax auritus,species,accepted,GBIF:2481875,Animalia,Chordata,Aves,Suliformes,Phalacrocoracidae,Phalacrocorax,auritus,NA,2481854,4408478,"(Lesson, 1831)",雙冠鸕鷀,1.51,2,2.49,7.33,8.52,9.56,1.62,3.34,5.45
winship2018,spring,DOVE,GBIF:2481299,DOVE_spring.tif,Dovekie,Alle alle,willmott2013,GBIF:2481299,Alle alle,species,accepted,GBIF:2481299,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Alle,alle,NA,2481298,4408619,"(Linnaeus, 1758)",小海烏,1.13,1.75,2.4,6.52,6.62,7.2,2.1,4.06,5.4
winship2018,spring,GBBG,GBIF:2481172,GBBG_spring.tif,Great Black-backed Gull,Larus marinus,willmott2013,GBIF:2481172,Larus marinus,species,accepted,GBIF:2481172,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,marinus,NA,2481126,NA,"Linnaeus, 1758",大黑背鸥,2,2.5,2.71,8.49,9.81,9.98,6.41,8.37,9.18
winship2018,spring,GRSH,GBIF:5229343,GRSH_spring.tif,Great Shearwater,Puffinus gravis,willmott2013,GBIF:5229343,Puffinus gravis,species,accepted,GBIF:5229343,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Puffinus,gravis,NA,5229335,4408466,"(O'Reilly, 1818)",יסעור לבן זנב,2.03,2.75,2.88,7.16,7.88,8.6,1.91,5.5,6.6
winship2018,spring,HERG,GBIF:2481139,HERG_spring.tif,Herring Gull,Larus argentatus,willmott2013,GBIF:2481139,Larus argentatus,species,accepted,GBIF:2481139,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,argentatus,NA,2481126,NA,"Pontoppidan, 1763",银鸥,1.63,2.5,2.75,8.35,9.81,10,3.87,6.55,7.55
winship2018,spring,LAGU,GBIF:6065844,LAGU_spring.tif,Laughing Gull,Leucophaeus atricilla,willmott2013,GBIF:6065844,Leucophaeus atricilla,species,accepted,GBIF:6065844,Animalia,Chordata,Aves,Charadriiformes,Laridae,Leucophaeus,atricilla,NA,4352369,2481192,"(Linnaeus, 1758)",笑鸥,1.55,2.25,2.95,7.39,8.98,9.92,2.63,5.74,7.36
winship2018,spring,LESP,GBIF:2482012,LESP_spring.tif,Leach's Storm-Petrel,Oceanodroma leucorhoa,willmott2013,GBIF:2482012,Oceanodroma leucorhoa,species,accepted,GBIF:2482012,Animalia,Chordata,Aves,Procellariiformes,Hydrobatidae,Oceanodroma,leucorhoa,NA,2481998,4408450,"(Vieillot, 1818)",白腰叉尾海燕,1.5,2,2.53,7.03,7.58,8.18,2.67,3.97,4.88
winship2018,spring,LTDU,GBIF:2498273,LTDU_spring.tif,Long-tailed Duck,Clangula hyemalis,willmott2013,GBIF:2498273,Clangula hyemalis,species,accepted,GBIF:2498273,Animalia,Chordata,Aves,Anseriformes,Anatidae,Clangula,hyemalis,NA,2498272,4409095,"(Linnaeus, 1758)",长尾鸭,1.5,1.75,2.09,7.6,8.45,8.92,6.17,6.93,7.84
winship2018,spring,MASH,GBIF:5229380,MASH_spring.tif,Manx Shearwater,Puffinus puffinus,willmott2013,GBIF:5229380,Puffinus puffinus,species,accepted,GBIF:5229380,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Puffinus,puffinus,NA,5229335,7528574,"(Brunnich, 1764)",普通鸌,2,2.75,3.19,7.77,8.24,8.94,4.92,6.69,7.51
winship2018,spring,NOFU,GBIF:2481433,NOFU_spring.tif,Northern Fulmar,Fulmarus glacialis,willmott2013,GBIF:2481433,Fulmarus glacialis,species,accepted,GBIF:2481433,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Fulmarus,glacialis,NA,2481431,4408458,"(Linnaeus, 1761)",暴雪鹱,1.81,2.25,2.4,7.09,7.54,8.54,2.96,4.4,4.68
winship2018,spring,NOGA,GBIF:2480964,NOGA_spring.tif,Northern Gannet,Morus bassanus,willmott2013,GBIF:2480964,Morus bassanus,species,accepted,GBIF:2480964,Animalia,Chordata,Aves,Suliformes,Sulidae,Morus,bassanus,NA,2480962,8414567,"(Linnaeus, 1758)",北鲣鸟,2.19,2.75,3.19,8.88,9.47,9.73,6.07,7.12,7.89
winship2018,spring,PAJA,GBIF:2481621,PAJA_spring.tif,Parasitic Jaeger,Stercorarius parasiticus,willmott2013,GBIF:2481621,Stercorarius parasiticus,species,accepted,GBIF:2481621,Animalia,Chordata,Aves,Charadriiformes,Stercorariidae,Stercorarius,parasiticus,NA,2481608,4408508,"(Linnaeus, 1758)",短尾贼鸥,1.5,2,2.63,8.64,9.75,9.9,1.72,2.53,3.54
winship2018,spring,POJA,GBIF:2481609,POJA_spring.tif,Pomarine Jaeger,Stercorarius pomarinus,willmott2013,GBIF:2481609,Stercorarius pomarinus,species,accepted,GBIF:2481609,Animalia,Chordata,Aves,Charadriiformes,Stercorariidae,Stercorarius,pomarinus,NA,2481608,4408507,"(Temminck, 1815)",中贼鸥,1.5,2.75,3.75,8.2,9.62,9.94,1.24,2.87,5.21
winship2018,spring,RAZO,GBIF:8277073,RAZO_spring.tif,Razorbill,Alca torda,willmott2013,GBIF:8277073,Alca torda,species,accepted,GBIF:8277073,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Alca,torda,NA,2481308,NA,"Linnaeus, 1758",刀嘴海雀,2,2.5,2.88,7.13,7.86,8.79,8.27,9.33,9.66
winship2018,spring,RBGU,GBIF:2481134,RBGU_spring.tif,Ring-billed Gull,Larus delawarensis,willmott2013,GBIF:2481134,Larus delawarensis,species,accepted,GBIF:2481134,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,delawarensis,NA,2481126,NA,"Ord, 1815",環嘴鷗,1.33,1.75,2.2,1.5,4.33,5.67,0.19,0.57,0.71
