sp_key,n_cells_br
Fis-162326,3302
Fis-162335,450
Fis-162337,11
Fis-162449,28
Fis-162475,585
Fis-162810,8
Fis-162812,1
Fis-162889,93
Fis-163002,46
Fis-163019,149
Fis-16335,116
Fis-163398,447
Fis-163753,625
Fis-163777,143
Fis-163778,206
Fis-163779,252
Fis-163780,1
Fis-163781,308
Fis-163919,141
Fis-16392,173
Fis-163930,74
Fis-164001,67
Fis-164043,21
Fis-164090,79
Fis-164166,246
Fis-164211,281
Fis-164216,520
Fis-164253,822
Fis-164254,395
Fis-164703,59
Fis-164770,132
Fis-164793,465
Fis-164871,1
Fis-165213,9
Fis-165216,21
Fis-165220,18
Fis-165275,188
Fis-165277,628
Fis-165322,282
Fis-165443,1
Fis-165595,1
Fis-165782,76
Fis-165880,30
Fis-166038,975
Fis-166180,151
Fis-166181,19
Fis-166563,110
Fis-166685,5
Fis-166686,239
Fis-166687,185
Fis-166690,113
Fis-166734,1
Fis-166848,121
Fis-167323,53
Fis-167417,96
Fis-167420,475
Fis-16746,32
Fis-167929,158
Fis-16793,175
Fis-167944,121
Fis-167945,25
Fis-16800,175
Fis-168166,1709
Fis-168283,107
Fis-168289,33
Fis-168311,476
Fis-168349,14
Fis-168350,140
Fis-168353,33
Fis-168906,4
Fis-169054,562
Fis-169067,426
Fis-169079,324
Fis-169081,17
Fis-169094,76
Fis-169100,36
Fis-169104,17
Fis-169105,18
Fis-169107,17
Fis-169237,8
Fis-169239,1
Fis-169595,190
Fis-16989,120
Fis-170112,326
Fis-170174,1167
Fis-170382,87
Fis-170414,179
Fis-170438,38
Fis-170445,20
Fis-170460,33
Fis-170462,46
Fis-170463,48
Fis-170464,57
Fis-170465,86
Fis-170774,1
Fis-171246,20
Fis-171297,682
Fis-171604,191
Fis-171607,85
Fis-171617,1938
Fis-171714,180
Fis-171720,29
Fis-171821,17
Fis-172341,230
Fis-172355,24
Fis-172360,181
Fis-172361,133
Fis-172363,7
Fis-172567,318
Fis-172658,20
Fis-17275,230
Fis-17283,1145
Fis-173085,66
Fis-173093,234
Fis-173103,89
Fis-173420,116
Fis-173421,430
Fis-173422,103
Fis-173443,1
Fis-173482,1
Fis-173541,180
Fis-17381,192
Fis-1918,1160
Fis-20033,1737
Fis-204,179
Fis-21249,238
Fis-21631,17
Fis-21798,31
