taxon_id,taxon_authority,n_ds,ms_merge,sp_cat,mdl_seq,scientific_name,common_name,worms_id,redlist_code,extrisk_code,er_score,is_mmpa,is_mbta,is_bcc,worms_is_marine,worms_is_extinct,esa_code,esa_source,is_ok
210476,worms,1,NA,invertebrate,9182,Synalpheus coutierei,NA,210476,NA,NA,1,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,TRUE
421582,worms,1,NA,invertebrate,9183,Hemiproto wigleyi,NA,421582,NA,NA,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,TRUE
213119,worms,1,NA,invertebrate,9184,Archaster typicus,common sea star,213119,NA,NA,1,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,FALSE
141765,worms,1,NA,invertebrate,9185,Calliostoma occidentale,boreal topsnail,141765,NA,NA,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,FALSE
1436202,worms,1,NA,invertebrate,9186,Frigidoalvania carinata,carinate alvania,1436202,NA,NA,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,FALSE
181233,worms,1,NA,invertebrate,9187,Dendrodoris fumata,Smoky Sucking Dorid,181233,NA,NA,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,TRUE
208166,worms,1,NA,invertebrate,9188,Harpa major,large harp,208166,NA,NA,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,TRUE
215741,worms,1,NA,invertebrate,9190,Nassarius glans,glans nassa,215741,NA,NA,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,TRUE
216669,worms,1,NA,invertebrate,9191,Cerithium echinatum,spinose cerith,216669,NA,NA,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,TRUE
419586,worms,1,NA,invertebrate,9192,Caecum condylum,bone caecum,419586,NA,NA,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,TRUE
456593,worms,1,NA,invertebrate,9193,Lottia gigantea,owl limpet,456593,NA,NA,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,TRUE
564284,worms,1,NA,invertebrate,9194,Dermomurex elizabethae,NA,564284,NA,NA,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,TRUE
243892,worms,1,NA,invertebrate,9195,Ophionereis squamulosa,NA,243892,NA,NA,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,TRUE
131106,worms,1,NA,other,9196,Aonides oxycephala,NA,131106,NA,NA,1,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,TRUE
287698,worms,1,NA,coral,9198,Montipora capricornis,pore coral,287698,EN,IUCN:EN,25,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,TRUE
110690,worms,1,NA,invertebrate,9200,Meganyctiphanes norvegica,northern krill,110690,NA,NA,1,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,FALSE
278774,worms,1,NA,fish,9201,Suttonia lineata,Freckleface podge,278774,LC,IUCN:LC,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,TRUE
159705,worms,1,NA,fish,9202,Epigonus oligolepis,NA,159705,LC,IUCN:LC,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,TRUE
712858,worms,1,NA,fish,9203,Bathygobius antilliensis,Antilles frillfin,712858,LC,IUCN:LC,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,TRUE
712654,worms,1,NA,fish,9204,Ostorhinchus cookii,Cook's cardinalfish,712654,LC,IUCN:LC,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,TRUE
1012451,worms,1,NA,fish,9205,Scolecenchelys iredalei,Coral worm eel,1012451,NA,NA,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,TRUE
218390,worms,1,NA,fish,9206,Carangoides equula,whitefin trevally,218390,LC,IUCN:LC,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,FALSE
274819,worms,1,NA,fish,9207,Sebastes melanostomus,blackgill rockfish,274819,NA,NA,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,TRUE
277483,worms,1,NA,fish,9208,Pseudanthias thompsoni,Hawaiian anthias,277483,LC,IUCN:LC,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,FALSE
217828,worms,1,NA,fish,9209,Encheliophis gracilis,graceful pearlfish,217828,LC,IUCN:LC,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,TRUE
280765,worms,1,NA,fish,9210,Evistias acutirostris,Striped boarfish,280765,LC,IUCN:LC,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,FALSE
277472,worms,1,NA,fish,9211,Pseudanthias pictilis,Painted anthias,277472,LC,IUCN:LC,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,TRUE
282295,worms,1,NA,fish,9213,Pleuronichthys verticalis,hornyhead turbot,282295,LC,IUCN:LC,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,TRUE
283209,worms,1,NA,fish,9214,Zaniolepis latipinnis,longspine combfish,283209,NA,NA,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,TRUE
209298,worms,1,NA,fish,9215,Pseudamia gelatinosa,gelatinous cardinalfish,209298,LC,IUCN:LC,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,FALSE
275857,worms,1,NA,fish,9216,Poecilopsetta praelonga,Alcock's narrow-body righteye flounder,275857,LC,IUCN:LC,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,TRUE
219608,worms,1,NA,fish,9217,Gunnellichthys curiosus,Curious wormfish,219608,LC,IUCN:LC,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,TRUE
279018,worms,1,NA,fish,9218,Plectranthias nanus,Bownband perchlet,279018,LC,IUCN:LC,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,FALSE
214882,worms,1,NA,invertebrate,9219,Jocaste japonica,NA,214882,NA,NA,1,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,TRUE
871470,worms,1,NA,invertebrate,9220,Zenopontonia rex,emperor shrimp,871470,NA,NA,1,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,TRUE
366635,worms,1,NA,invertebrate,9222,Pagurixus nomurai,Nomuras hermit,366635,NA,NA,1,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,TRUE
210544,worms,1,NA,invertebrate,9223,Alpheus lottini,coral snapping shrimp,210544,NA,NA,1,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,TRUE
422183,worms,1,NA,invertebrate,9224,Cardisoma guanhumi,blue land crab,422183,NA,NA,1,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,TRUE
1606480,worms,1,NA,invertebrate,9225,Gonionida profunda,NA,1606480,NA,NA,1,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,TRUE
368045,worms,1,NA,invertebrate,9228,Paragiopagurus hirsutus,NA,368045,NA,NA,1,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,TRUE
506074,worms,1,NA,invertebrate,9229,Leiosolenus levigatus,NA,506074,NA,NA,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,TRUE
253509,worms,1,NA,other,9230,Polycarpa cryptocarpa,NA,253509,NA,NA,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,TRUE
254848,worms,1,NA,invertebrate,9231,Coronaster halicepus,NA,254848,NA,NA,1,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,TRUE
368135,worms,1,NA,invertebrate,9232,Luidia columbia,NA,368135,NA,NA,1,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,TRUE
208767,worms,1,NA,invertebrate,9233,Lissocarcinus orbicularis,sea cucumber crab,208767,NA,NA,1,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,TRUE
422190,worms,1,NA,invertebrate,9234,Aratus pisonii,mangrove tree crab,422190,NA,NA,1,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE
220727,worms,1,NA,invertebrate,9235,Sphaeroma walkeri,fouling isopod,220727,NA,NA,1,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE
141564,worms,1,NA,invertebrate,9236,Placida cremoniana,Cremona's slug,141564,NA,NA,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,TRUE
160446,worms,1,NA,invertebrate,9237,Propebela turricula,turriculate lora,160446,NA,NA,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,FALSE
207870,worms,1,NA,invertebrate,9238,Spondylus zonalis,NA,207870,NA,NA,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,FALSE
413408,worms,1,NA,invertebrate,9239,Lithopoma caelatum,carved starsnail,413408,NA,NA,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,TRUE
413447,worms,1,NA,invertebrate,9240,Bayerotrochus midas,NA,413447,NA,NA,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,TRUE
419408,worms,1,NA,invertebrate,9241,Calliostoma brunneum,NA,419408,NA,NA,1,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,TRUE
420047,worms,1,NA,invertebrate,9242,Polygona infundibulum,NA,420047,NA,NA,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,TRUE
1346725,worms,1,NA,invertebrate,9243,Gigantidas childressi,NA,1346725,NA,NA,1,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,TRUE
157358,worms,1,NA,other,9244,Drilonereis magna,threadworm,157358,NA,NA,1,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,FALSE
280616,worms,1,NA,fish,9245,Elacatinus oceanops,neon goby,280616,LC,IUCN:LC,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,TRUE
272058,worms,1,NA,fish,9246,Chlorophthalmus mento,NA,272058,LC,IUCN:LC,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,TRUE
278830,worms,1,NA,fish,9247,Centropyge bispinosa,Twospined angelfish,278830,LC,IUCN:LC,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,FALSE
151324,worms,1,NA,fish,9248,Sebastes norvegicus,red-fish,151324,LC,IUCN:LC,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,FALSE
276908,worms,1,NA,fish,9249,Pseudoplesiops wassi,Fleckfin dottyback,276908,LC,IUCN:LC,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,FALSE
219630,worms,1,NA,fish,9253,Acanthurus triostegus,convict surgeonfish,219630,LC,IUCN:LC,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,FALSE
1802000,worms,1,NA,fish,9254,Ferdauia ferdau,Blue trevally,1802000,LC,IUCN:LC,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,FALSE
217947,worms,1,NA,fish,9255,Sargocentron diadema,crown squirrelfish,217947,LC,IUCN:LC,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,FALSE
219925,worms,1,NA,fish,9256,Arothron hispidus,bristly puffer,219925,LC,IUCN:LC,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,TRUE
277575,worms,1,NA,fish,9258,Hemitaurichthys polylepis,Pyramid butterflyfish,277575,LC,IUCN:LC,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,FALSE
219879,worms,1,NA,fish,9260,Melichthys vidua,pinktail triggerfish,219879,LC,IUCN:LC,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,FALSE
219679,worms,1,NA,fish,9261,Zebrasoma scopas,twotone tang,219679,LC,IUCN:LC,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,FALSE
219673,worms,1,NA,fish,9262,Naso annulatus,white margin unicornfish,219673,LC,IUCN:LC,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,FALSE
276844,worms,1,NA,fish,9264,Chrysiptera starcki,Starck's demoiselle,276844,LC,IUCN:LC,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,FALSE
277471,worms,1,NA,fish,9265,Pseudanthias pascalus,Amethyst anthias,277471,LC,IUCN:LC,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,FALSE
218009,worms,1,NA,fish,9266,Halicampus boothae,Booth's pipefish,218009,LC,IUCN:LC,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,TRUE
217371,worms,1,NA,fish,9267,Squalus mitsukurii,shortspine spurdog,217371,EN,IUCN:EN,25,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,FALSE
219648,worms,1,NA,fish,9268,Acanthurus pyroferus,chocolate surgeonfish,219648,LC,IUCN:LC,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,FALSE
218738,worms,1,NA,fish,9270,Chaetodon kleinii,sunburst butterflyfish,218738,LC,IUCN:LC,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,FALSE
218730,worms,1,NA,fish,9271,Chaetodon auriga,threadfin butterflyfish,218730,LC,IUCN:LC,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,FALSE
218753,worms,1,NA,fish,9272,Chaetodon unimaculatus,teardrop butterflyfish,218753,LC,IUCN:LC,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,FALSE
217674,worms,1,NA,fish,9274,Synodus binotatus,twospot lizardfish,217674,LC,IUCN:LC,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,FALSE
718967,worms,1,NA,invertebrate,9277,Euanodontia hawaiensis,NA,718967,NA,NA,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,FALSE
241833,worms,1,NA,invertebrate,9281,Holothuria (Halodeima) grisea,NA,241833,LC,IUCN:LC,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,TRUE
1729225,worms,1,NA,invertebrate,9282,Spongia (Spongia) obscura,grass sponge,1729225,NA,NA,1,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,TRUE
207610,worms,1,NA,invertebrate,9283,Linckia laevigata,azure sea star,207610,NA,NA,1,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,FALSE
213301,worms,1,NA,invertebrate,9284,Fromia monilis,peppermint sea star,213301,NA,NA,1,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,TRUE
442269,worms,1,NA,invertebrate,9285,Furtipodia petrosa,NA,442269,NA,NA,1,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,FALSE
215120,worms,1,NA,invertebrate,9286,Rhinoclavis aspera,rough horn,215120,NA,NA,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,TRUE
344204,worms,1,NA,invertebrate,9287,Fissidentalium levii,NA,344204,NA,NA,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,FALSE
419776,worms,1,NA,invertebrate,9288,Casmaria atlantica,Atlantic bonnet,419776,NA,NA,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,TRUE
420392,worms,1,NA,invertebrate,9289,Strictispira drangai,NA,420392,NA,NA,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,TRUE
213419,worms,1,NA,invertebrate,9290,Ophionereis porrecta,NA,213419,NA,NA,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,FALSE
278387,worms,1,NA,fish,9292,Glyptophidium argenteum,NA,278387,LC,IUCN:LC,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,TRUE
272454,worms,1,NA,fish,9294,Merluccius hernandezi,Cortez hake,272454,DD,IUCN:DD,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,TRUE
274635,worms,1,NA,fish,9295,Peristedion antillarum,Longnose armoured searobin,274635,LC,IUCN:LC,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,TRUE
283230,worms,1,NA,fish,9296,Zoramia viridiventer,NA,283230,LC,IUCN:LC,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,TRUE
398453,worms,1,NA,fish,9297,Cociella crocodilus,Crocodile flathead,398453,NA,NA,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,TRUE
712884,worms,1,NA,fish,9298,Trimma maiandros,Zigzag pygmygoby,712884,LC,IUCN:LC,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,TRUE
276828,worms,1,NA,fish,9302,Chrysiptera caeruleolineata,Blueline demoiselle,276828,LC,IUCN:LC,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,FALSE
278135,worms,1,NA,fish,9304,Cirrhitops hubbardi,NA,278135,LC,IUCN:LC,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,TRUE
