taxon_scientific_name,iucn_code,worms_id
Anacropora reticulata,EN,289243
Anacropora spumosa,EN,289245
Pocillopora capitata,EN,289246
Pocillopora fungiformis,EN,289248
Pocillopora indiania,EN,289249
Pocillopora kelleheri,EN,289251
Pocillopora woodjonesi,EN,289252
Pocillopora zelli,EN,289253
Alveopora catalai,EN,289254
Alveopora gigas,EN,289256
Alveopora japonica,CR,289257
Alveopora marionensis,EN,289258
Alveopora minuta,EN,289259
Mesoplodon perrini,EN,254992
Neophoca cinerea,EN,255001
Zalophus wollebaeki,EN,255005
Arctocephalus galapagoensis,EN,255008
Myxine paucidens,EN,271312
Carcharhinus borneensis,CR,271319
Carcharhinus hemiodon,CR,271322
Carcharhinus leiodon,EN,271323
Paragaleus tengi,EN,271331
Sphyrna corona,CR,271377
Sphyrna media,CR,271379
Mustelus griseus,EN,271384
Mustelus higmani,EN,271387
Mustelus mento,CR,271390
Mustelus minicanis,EN,271391
Mustelus whitneyi,CR,271395
Dasyatis hypostigma,EN,271436
Rhinoptera jayakari,EN,271496
Dipturus chilensis,EN,271542
Dipturus mennii,CR,271554
Rhinobatos albomaculatus,CR,271593
Rhinobatos annandalei,CR,271594
Rhinobatos hynnicephalus,EN,271598
Rhinobatos irvinei,CR,271599
Rhinobatos lionotus,CR,271601
Centrophorus atromarginatus,CR,271616
Centrophorus harrissoni,EN,271617
Centrophorus isodon,EN,271618
Centrophorus tessellatus,EN,271619
Squalus brevirostris,EN,271658
Squalus japonicus,EN,271661
Squatina armata,CR,271665
Squatina formosa,EN,271668
Squatina japonica,CR,271670
Squatina nebulosa,EN,271671
Squatina occulta,CR,271672
Squatina punctata,EN,271673
Squatina tergocellatoides,EN,271675
Torpedo adenensis,EN,271676
Torpedo bauchotae,EN,271679
Torpedo mackayana,EN,271682
Torpedo suessii,CR,271689
Anguilla dieffenbachii,EN,271703
Anguilla japonica,EN,271705
Gymnothorax parini,EN,271867
Clupeonella engrauliformis,EN,272258
Clupeonella grimmi,EN,272259
Sciaena callaensis,CR,273789
Epinephelus akaara,EN,273833
Mycteroperca olfax,EN,273881
Sillago parvisquamis,EN,273951
Scorpaena ascensionis,EN,274700
Scorpaena mellissii,EN,274723
Canthigaster cyanetron,EN,275250
Canthigaster rapaensis,EN,275265
Narcine prodorsalis,EN,275397
Anchoa choerostoma,EN,275510
Halichoeres socialis,EN,275800
Menidia conchorum,EN,275932
Scarus trispinosus,EN,276063
Gambusia xanthosoma,EN,276144
Gobiosoma spilotum,EN,276516
Priolepis ascensionis,EN,276761
Chrysiptera niger,EN,276834
Cephaloscyllium fasciatum,CR,277100
Cephaloscyllium silasi,CR,277103
Glyphis gangeticus,CR,277183
Glyphis siamensis,CR,277185
Enneapterygius namarrgon,EN,277322
Hemipristis elongata,EN,277427
