is_ok,component,common_name,scientific_name,redlist_code_max,extrisk_code,er_score,is_mmpa,is_mbta,is_bcc,worms_is_marine,worms_is_extinct,n_datasets,taxon_authority,taxon_id,model_id
TRUE,bird,Common Eider,Somateria mollissima,NT,FWS:LC,10,FALSE,TRUE,FALSE,TRUE,NA,1,botw,22680405,18158
TRUE,bird,Common Greenshank,Tringa nebularia,LC,IUCN:LC,1,FALSE,FALSE,FALSE,TRUE,NA,1,botw,22693220,18060
TRUE,bird,Common Loon,Gavia immer,LC,IUCN:LC,1,FALSE,FALSE,FALSE,TRUE,NA,1,botw,22697842,17764
TRUE,bird,Common Murre,Uria aalge,LC,FWS:LC,10,FALSE,TRUE,FALSE,TRUE,NA,1,botw,22694841,18070
TRUE,bird,Common Ringed Plover,Charadrius hiaticula,LC,IUCN:LC,1,FALSE,FALSE,FALSE,TRUE,NA,1,botw,22693759,17677
TRUE,bird,Common Teal,Anas crecca,LC,FWS:LC,10,FALSE,TRUE,FALSE,TRUE,NA,1,botw,22680321,17580
TRUE,bird,Cook's Petrel,Pterodroma cookii,VU,FWS:LC,10,FALSE,TRUE,TRUE,TRUE,NA,1,botw,22697975,17949
TRUE,bird,Craveri's Murrelet,Synthliboramphus craveri,VU,FWS:LC,10,FALSE,TRUE,TRUE,TRUE,NA,1,botw,22694887,18040
TRUE,bird,Crested Auklet,Aethia cristatella,LC,FWS:LC,10,FALSE,TRUE,FALSE,TRUE,NA,1,botw,22694915,17561
TRUE,bird,Desertas Petrel,Pterodroma deserta,VU,IUCN:VU,5,FALSE,FALSE,FALSE,TRUE,NA,1,botw,22736135,17950
TRUE,bird,Double-crested Cormorant,Nannopterum auritum,LC,IUCN:LC,1,FALSE,FALSE,FALSE,NA,NA,1,botw,22696776,17871
TRUE,bird,Dunlin,Calidris alpina,NT,IUCN:NT,2,FALSE,FALSE,FALSE,TRUE,NA,1,botw,22693427,17646
TRUE,bird,Eastern Yellow Wagtail,Motacilla tschutschensis,LC,IUCN:LC,1,FALSE,FALSE,FALSE,NA,NA,1,botw,103822471,18267
TRUE,bird,Elegant Tern,Thalasseus elegans,NT,FWS:LC,10,FALSE,TRUE,TRUE,TRUE,NA,1,botw,22694552,18047
TRUE,bird,Emperor Goose,Anser canagicus,LC,IUCN:LC,1,FALSE,FALSE,FALSE,NA,NA,1,botw,22679919,17589
TRUE,bird,Eskimo Curlew,Numenius borealis,EN,FWS:EN,100,FALSE,TRUE,FALSE,TRUE,NA,1,botw,22693170,18383
TRUE,bird,Eurasian Dotterel,Eudromias morinellus,LC,IUCN:LC,1,FALSE,FALSE,FALSE,NA,NA,1,botw,22693906,17732
TRUE,bird,Flesh-footed Shearwater,Ardenna carneipes,NT,IUCN:NT,2,FALSE,FALSE,FALSE,TRUE,NA,1,botw,22698188,17608
TRUE,bird,Fork-tailed Storm-petrel,Hydrobates furcatus,LC,IUCN:LC,1,FALSE,FALSE,FALSE,TRUE,NA,1,botw,22698572,17790
TRUE,bird,Forster's Tern,Sterna forsteri,LC,FWS:LC,10,FALSE,TRUE,TRUE,TRUE,NA,1,botw,22694646,18028
TRUE,bird,Franklin's Gull,Larus pipixcan,LC,IUCN:LC,1,FALSE,FALSE,FALSE,TRUE,NA,1,botw,22694462,17820
TRUE,bird,Glaucous Gull,Larus hyperboreus,LC,IUCN:LC,1,FALSE,FALSE,FALSE,TRUE,NA,1,botw,22694343,17817
TRUE,bird,Glaucous-winged Gull,Larus glaucescens,LC,IUCN:LC,1,FALSE,FALSE,FALSE,TRUE,NA,1,botw,22694334,17815
TRUE,bird,Golden-crowned Sparrow,Zonotrichia atricapilla,LC,IUCN:LC,1,FALSE,FALSE,FALSE,NA,NA,1,botw,22721091,18090
TRUE,bird,Goosander,Mergus merganser,LC,IUCN:LC,1,FALSE,FALSE,FALSE,TRUE,NA,1,botw,22680492,17860
TRUE,bird,Great Horned Owl,Bubo virginianus,LC,FWS:LC,10,FALSE,TRUE,FALSE,NA,NA,1,botw,61752071,17631
TRUE,bird,Great Knot,Calidris tenuirostris,EN,IUCN:EN,25,FALSE,FALSE,FALSE,TRUE,NA,1,botw,22693359,17658
