taxon_id,scientific_name,sp_cat,ax_status,n_shared,n_am_only,n_ax_only,mean_am,mean_ax,cor,mean_am_all,mean_ax_all,delta,jaccard,delta_PA,delta_AT,delta_AK,delta_other,delta_GA,n_shared_PA,n_shared_AT,n_shared_AK,n_shared_other,n_shared_GA
275240,Chilomycterus antillarum,fish,ok,15407,8465,5164,62.32,80.467,0.213,58.054,73.98,18.147,0.531,NA,12.492,NA,13.815,22.719,NA,5696,NA,1368,8343
217856,Chaunax penicillatus,fish,ok,0,15649,6048,NA,NA,NA,13.726,5.492,NA,0,NA,NA,NA,NA,NA,0,NA,0,0,NA
273184,Callionymus goodladi,fish,absent_in_mask,0,2948,0,NA,NA,NA,10.305,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
219940,Canthigaster janthinoptera,fish,ok,4694,14211,10901,32.315,23.171,0.302,32.169,12.758,-9.144,0.157,-9.144,NA,NA,NA,NA,4694,NA,NA,NA,NA
126803,Caranx hippos,fish,ok,40894,861,9834,68.624,84.509,0.491,67.9,85.283,15.886,0.793,NA,20.061,NA,18.532,9.113,NA,22397,NA,3372,15125
218411,Caranx papuensis,fish,ok,1464,15348,1839,16.428,20.632,0.174,16.873,12.416,4.204,0.078,4.204,NA,NA,NA,NA,1464,NA,NA,NA,NA
280143,Cheroscorpaena tridactyla,fish,absent_in_mask,0,1015,0,NA,NA,NA,5.253,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
217340,Carcharhinus amboinensis,fish,absent_in_mask,0,2304,0,NA,NA,NA,10.64,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
218183,Cephalopholis sonnerati,fish,ok,5614,14551,15517,29.888,16.735,0.286,24.791,8.322,-13.153,0.157,-13.153,NA,NA,NA,NA,5614,NA,NA,NA,NA
126540,Chaunax suttkusi,fish,ok,28932,563,33172,52.219,57.357,0.745,51.627,36.25,5.138,0.462,NA,2.976,NA,18.646,7.738,NA,16809,NA,443,11680
218192,Chelidoperca pleurospilus,fish,ok,4265,3356,27932,32.953,11.674,0.29,25.407,6.68,-21.279,0.12,-21.279,NA,NA,NA,NA,4265,NA,NA,NA,NA
105790,Carcharhinus galapagensis,fish,ok,19514,33987,38186,47.333,36.219,0.58,58.934,18.416,-11.114,0.213,-10.018,-18.777,NA,NA,NA,17074,2440,NA,0,0
274464,Careproctus rastrinus,fish,ok,10386,6395,117935,62.236,43.386,0.419,60.419,27.411,-18.849,0.077,NA,NA,-18.66,-39.778,NA,0,NA,10293,93,NA
712745,Centropyge interrupta,fish,ok,1085,16929,5068,26.24,56.218,0.297,29.45,43.889,29.978,0.047,29.978,NA,NA,NA,NA,1085,NA,NA,0,NA
273333,Chaetodon decussatus,fish,absent_in_mask,0,682,0,NA,NA,NA,29.31,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
217858,Cheilopogon unicolor,fish,ok,15465,1508,40308,35.248,35.248,0.04,34.608,29.744,0,0.27,0,NA,NA,NA,NA,15465,NA,NA,NA,NA
273193,Callionymus keeleyi,fish,ok,2135,3140,18591,24,19.57,-0.046,19.883,22.045,-4.43,0.089,-4.43,NA,NA,NA,NA,2135,NA,NA,NA,NA
278886,Callogobius snelliusi,fish,absent_in_mask,0,670,0,NA,NA,NA,22.955,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
275261,Canthigaster ocellicincta,fish,absent_in_mask,0,19595,0,NA,NA,NA,24.811,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
276216,Caulolatilus intermedius,fish,ok,12667,8325,1617,61.745,69.963,0.208,58.86,68.234,8.217,0.56,NA,-51.713,NA,23.266,12.203,NA,955,NA,954,10758
280064,Centropomus parallelus,fish,ok,5398,517,8325,57.366,41.926,0.5,54.731,37.784,-15.44,0.379,NA,-27.756,NA,3.469,1.11,NA,3125,NA,369,1904
276412,Chaetodipterus zonatus,fish,ok,104,0,4789,6.237,56.212,0.575,6.237,38.234,49.975,0.021,46.768,NA,NA,77.085,NA,93,NA,NA,11,NA
273272,Caranx caninus,fish,ok,0,0,7159,NA,NA,NA,NA,11.693,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA
278642,Champsodon guentheri,fish,ok,44324,1402,1329,20.997,41.423,0.193,20.595,41.221,20.426,0.942,20.426,NA,NA,NA,NA,44324,NA,NA,NA,NA
277020,Chelidoperca hirundinacea,fish,ok,766,1034,25577,2.909,11.036,-0.049,5.904,9.572,8.127,0.028,8.127,NA,NA,NA,NA,766,NA,NA,NA,NA
280152,Chilorhinus suensonii,fish,ok,5150,4581,5419,52.648,53.708,0.286,38.848,46.488,1.06,0.34,NA,10.002,NA,-14.808,-32.72,NA,3914,NA,377,859
280147,Chiloconger dentatus,fish,absent_in_mask,0,9481,0,NA,NA,NA,19.455,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA
367288,Careproctus gilberti,fish,ok,55789,6024,64032,57.86,58.45,0.711,55.085,38.307,0.59,0.443,26.707,NA,-2.506,13.387,NA,3756,NA,48069,3964,NA
274477,Careproctus spectrum,fish,ok,12887,3453,132267,41.893,62.924,0.36,40.836,28.781,21.031,0.087,NA,NA,21.004,21.207,NA,0,NA,11143,1744,NA
293559,Chaenopsis alepidota,fish,ok,1884,9499,1628,42.024,57.326,-0.05,24.695,49.776,15.302,0.145,13.501,NA,NA,53.427,NA,1799,NA,NA,85,NA
273349,Chaetodon multicinctus,fish,ok,8799,4928,10877,49.158,37.322,0.583,41.541,21.29,-11.836,0.358,-11.836,NA,NA,NA,NA,8799,NA,NA,NA,NA
273226,Callionymus simplicicornis,fish,ok,2552,2376,5748,38.958,29.023,0.317,33.65,18.996,-9.935,0.239,-9.935,NA,NA,NA,NA,2552,NA,NA,NA,NA
302312,Caranx bartholomaei,fish,ok,27815,756,18567,56.884,78.839,0.393,56.154,63.677,21.955,0.59,NA,22.594,NA,24.234,20.726,NA,13598,NA,2503,11714
273275,Caranx vinctus,fish,ok,0,30627,7159,NA,NA,NA,71.067,5.439,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA
280053,Cebidichthys violaceus,fish,ok,4250,497,3399,43.939,71.204,0.319,41.622,61.918,27.265,0.522,27.585,NA,NA,22.105,NA,4002,NA,NA,248,NA
280077,Cephalurus cephalus,fish,absent_in_mask,0,16754,0,NA,NA,NA,16.184,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
126539,Chaunax pictus,fish,ok,31428,238,42857,52.09,70.838,0.415,52.053,49.776,18.748,0.422,NA,13.984,NA,51.987,25.53,0,19298,NA,365,11765
220364,Caracanthus maculatus,fish,ok,4498,12509,6526,34.307,27.843,0.284,32.872,18.611,-6.464,0.191,-6.464,NA,NA,NA,NA,4498,NA,NA,NA,NA
280037,Caralophia loxochila,fish,ok,8826,8260,7252,55.607,79.655,0.447,39.976,66.509,24.049,0.363,NA,28.973,NA,2.548,19.969,NA,5249,NA,646,2931
127339,Chirostomias pliopterus,fish,ok,42509,14092,11877,80.604,77.915,0.413,78.563,68.073,-2.69,0.621,NA,-1.847,NA,21.492,-13.073,NA,38193,NA,365,3951
275249,Canthigaster compressa,fish,absent_in_mask,0,4250,0,NA,NA,NA,19.934,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
126831,Centrolophus niger,fish,ok,5069,20102,14968,61.906,26.906,0.725,62.763,11.475,-35.001,0.126,NA,-35.001,NA,NA,NA,NA,5069,NA,0,NA
280062,Centropomus mexicanus,fish,ok,4832,12651,3746,55.563,65.04,0.254,59.216,54.097,9.477,0.228,NA,7.345,NA,-30.01,25.362,NA,3756,NA,164,912
218738,Chaetodon kleinii,fish,ok,16092,4258,51805,33.612,16.767,0.445,31.29,6.115,-16.846,0.223,-16.846,NA,NA,NA,NA,16092,NA,NA,NA,NA
218717,Chaetodon ulietensis,fish,ok,4774,14105,10952,38.139,30.092,0.444,31.595,12.739,-8.047,0.16,-8.047,NA,NA,NA,NA,4774,NA,NA,NA,NA
278671,Chalixodytes tauensis,fish,ok,3226,887,12236,37.332,33.646,0.325,33.503,19.328,-3.686,0.197,-3.686,NA,NA,NA,NA,3226,NA,NA,NA,NA
278891,Cheilodipterus intermedius,fish,absent_in_mask,0,682,0,NA,NA,NA,25.793,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
278879,Callogobius hastatus,fish,ok,2831,1873,7934,17.636,30.068,0.113,14.343,29.127,12.433,0.224,12.433,NA,NA,NA,NA,2831,NA,NA,NA,NA
307139,Canthigaster axiologus,fish,ok,2121,19789,2676,34.92,28.4,0.327,32.151,16.6,-6.52,0.086,-6.52,NA,NA,NA,NA,2121,NA,NA,NA,NA
277038,Caracanthus typicus,fish,ok,6784,3449,6577,43.079,74.758,0.326,34.147,60.613,31.679,0.404,31.679,NA,NA,NA,NA,6784,NA,NA,NA,NA
273191,Callionymus japonicus,fish,absent_in_mask,0,3069,0,NA,NA,NA,8.884,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
158508,Carcharhinus acronotus,fish,ok,23841,2171,4379,69.597,80.016,0.598,66.351,74.511,10.419,0.784,NA,-0.632,NA,23.14,16.85,NA,9538,NA,2135,12168
105789,Carcharhinus falciformis,fish,ok,243165,52560,3032,46.823,42.082,0.115,42.868,42.153,-4.74,0.814,-18.241,13.569,NA,28.362,52.775,170214,47203,NA,1930,23818
126536,Centrophryne spinulosa,fish,ok,238940,32666,16322,81.674,56.325,0.151,80.803,54.694,-25.349,0.83,-29.891,15.572,NA,81.193,19.977,216732,6773,NA,126,15309
217336,Carcharhinus sealei,fish,absent_in_mask,0,2275,0,NA,NA,NA,8.111,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
126559,Chaenophryne draco,fish,ok,226767,12647,57048,91.25,74.668,0.051,90.305,72.299,-16.583,0.765,-22.104,5.343,NA,72.036,8.657,183413,27814,0,168,15372
217625,Chanos chanos,fish,ok,19930,461,166074,22.334,35.646,0.321,22.765,12.777,13.312,0.107,13.216,NA,NA,60.846,NA,19890,NA,0,40,NA
278892,Cheilodipterus isostigmus,fish,ok,1941,2445,6777,16.366,18.714,0.284,21.015,9.736,2.347,0.174,2.347,NA,NA,NA,NA,1941,NA,NA,NA,NA
278889,Cheilodipterus alleni,fish,absent_in_mask,0,680,0,NA,NA,NA,23.661,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
273212,Callionymus octostigmatus,fish,absent_in_mask,0,649,0,NA,NA,NA,13.667,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
834999,Careproctus lycopersicus,fish,ok,21711,13173,108248,31.021,44.01,0.179,31.169,25.189,12.988,0.152,NA,NA,12.85,30.269,NA,0,NA,21538,173,NA
272242,Cetomimus gillii,fish,ok,51745,124967,16653,81.563,72.092,0.197,75.061,67.424,-9.472,0.268,NA,-12.209,NA,20.782,-3.28,0,36360,0,178,15207
278897,Cheilodipterus singapurensis,fish,ok,2219,771,6058,8.074,19.175,0.039,9.536,13.608,11.101,0.245,11.101,NA,NA,NA,NA,2219,NA,NA,NA,NA
218340,Calloplesiops altivelis,fish,ok,2340,17380,6273,25.223,17.347,0.21,25.174,11.9,-7.876,0.09,-7.876,NA,NA,NA,NA,2340,NA,NA,NA,NA
280144,Cherublemma emmelas,fish,ok,0,15661,10356,NA,NA,NA,15.503,42.074,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA
278640,Champsodon atridorsalis,fish,absent_in_mask,0,4123,0,NA,NA,NA,8.904,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
278648,Champsodon vorax,fish,absent_in_mask,0,2874,0,NA,NA,NA,10.523,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
1605302,Chelonodontops laticeps,fish,absent_in_mask,0,682,0,NA,NA,NA,29.31,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
273197,Callionymus limiceps,fish,absent_in_mask,0,682,0,NA,NA,NA,25.207,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
276215,Caulolatilus hubbsi,fish,absent_in_mask,0,4039,0,NA,NA,NA,25.84,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA
105907,Centroscymnus coelolepis,fish,ok,23852,83709,2530,51.227,45.411,0.282,25.183,43.797,-5.816,0.217,NA,-6.089,NA,25.21,NA,0,23644,0,208,0
126586,Ceratoscopelus warmingii,fish,ok,261335,21313,16194,92.83,69.653,-0.056,91.061,68.899,-23.177,0.874,-32.375,7.233,NA,65.245,8.737,201555,42834,NA,186,16760
278875,Callogobius clitellus,fish,ok,2189,1031,8576,8.21,27.387,0.099,12.183,20.252,19.177,0.186,19.177,NA,NA,NA,NA,2189,NA,NA,NA,NA
218390,Carangoides equula,fish,ok,2647,12064,1728,10.708,33.667,0.325,13.79,26.082,22.959,0.161,22.959,NA,NA,NA,NA,2647,NA,NA,NA,NA
219772,Callionymus marleyi,fish,absent_in_mask,0,2147,0,NA,NA,NA,11.512,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
126804,Caranx latus,fish,ok,30534,814,10678,62.746,79.141,0.587,61.959,69.081,16.394,0.727,NA,17.606,NA,23.69,13.841,NA,14090,NA,2529,13915
254549,Careproctus melanurus,fish,ok,82486,14219,92484,51.418,49.778,0.565,46.719,29.17,-1.641,0.436,7.069,NA,-4.724,11.849,NA,15832,NA,62573,4081,NA
272546,Caulophryne pelagica,fish,ok,61567,73038,13975,84.017,61.441,0.16,82.236,60.404,-22.577,0.414,NA,NA,-22.597,39.311,NA,0,NA,61547,20,NA
218177,Cephalopholis aurantia,fish,ok,6021,18871,16694,37.914,34.953,0.026,39.709,29.49,-2.961,0.145,-2.961,NA,NA,NA,NA,6021,NA,NA,NA,NA
398549,Chaetodon lunulatus,fish,ok,8198,10745,15515,38.978,25.049,0.416,33.024,11.855,-13.929,0.238,-13.929,NA,NA,NA,NA,8198,NA,NA,NA,NA
272164,Cheilopogon spilopterus,fish,absent_in_mask,0,16953,0,NA,NA,NA,20.944,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
105791,Carcharhinus isodon,fish,ok,12695,6008,5058,57.27,82.464,0.418,48.422,72.353,25.194,0.534,NA,14.92,NA,17.768,36.047,NA,4536,NA,2295,5864
274428,Careproctus filamentosus,fish,ok,9735,16634,5159,54.422,57.128,0.513,44.846,45.612,2.706,0.309,2.706,NA,NA,NA,NA,9735,NA,0,0,NA
126406,Cetostoma regani,fish,ok,247263,43487,20076,86.194,37.378,-0.203,85.193,37.893,-48.816,0.796,-55.928,-36.979,NA,13.816,-13.72,180803,45816,NA,690,19954
254578,Chirolophis snyderi,fish,ok,10453,3993,125765,51.027,24.911,0.051,47.862,31.655,-26.117,0.075,NA,NA,-26.126,-25.037,NA,0,NA,10360,93,NA
273232,Callionymus tethys,fish,absent_in_mask,0,4498,0,NA,NA,NA,13.522,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
158995,Carapus bermudensis,fish,ok,26725,314,26435,66.598,61.845,0.639,66.242,44.134,-4.754,0.5,NA,-0.711,NA,-6.255,-7.65,NA,10823,NA,1649,14253
275264,Canthigaster punctatissima,fish,absent_in_mask,0,14893,0,NA,NA,NA,20.248,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
234107,Chaetodon sedentarius,fish,ok,24432,1774,8996,65.638,80.989,0.461,63.755,68.816,15.351,0.694,NA,15.581,NA,6.782,16.428,NA,9227,NA,1918,13287
220337,Champsodon capensis,fish,absent_in_mask,0,12732,0,NA,NA,NA,67.83,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
272151,Cheilopogon arcticeps,fish,ok,0,837,19721,NA,NA,NA,21.97,33.473,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
275262,Canthigaster papua,fish,ok,188,1972,2808,2.743,15.376,0.183,6.764,5.556,12.633,0.038,12.633,NA,NA,NA,NA,188,NA,NA,NA,NA
280031,Caprodon schlegelii,fish,ok,3618,19075,30526,19.117,9.138,0.161,19.369,9.346,-9.979,0.068,-9.979,NA,NA,NA,NA,3618,NA,NA,0,NA
126802,Caranx crysos,fish,ok,37687,410,13484,59.626,81.129,0.528,59.428,72.38,21.503,0.731,NA,25.505,NA,28.864,13.333,NA,20999,NA,3368,13320
217352,Carcharhinus albimarginatus,fish,ok,9293,22593,5539,44.029,21.468,0.579,30.971,16.251,-22.562,0.248,-22.562,NA,NA,NA,NA,9293,NA,NA,NA,NA
105794,Carcharhinus longimanus,fish,ok,261908,46551,2014,51.659,71.47,0.545,48.69,71.032,19.811,0.844,19.28,13.328,NA,11.26,38.199,186472,49594,NA,2024,23818
217970,Centriscus scutatus,fish,absent_in_mask,0,1607,0,NA,NA,NA,13.759,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
280055,Centrogenys vaigiensis,fish,absent_in_mask,0,682,0,NA,NA,NA,29.31,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
273355,Chaetodon punctatofasciatus,fish,ok,3204,15831,7998,34.555,29.796,0.186,26.248,15.819,-4.759,0.119,-4.759,NA,NA,NA,NA,3204,NA,NA,NA,NA
272549,Chaunax breviradius,fish,ok,4098,3192,10915,19.085,20.22,0.274,15.49,12.588,1.135,0.225,1.135,NA,NA,NA,NA,4098,NA,NA,NA,NA
217857,Chaunax umbrinus,fish,ok,8521,11561,97978,34.864,56.279,0.47,27.323,29.156,21.415,0.072,21.415,NA,NA,NA,NA,8521,NA,NA,NA,NA
218947,Cheilinus oxycephalus,fish,ok,4323,14837,13497,31.81,19.513,0.262,29.223,8.874,-12.296,0.132,-12.296,NA,NA,NA,NA,4323,NA,NA,NA,NA
217860,Cheilopogon abei,fish,ok,1579,683,9186,5.617,13.671,-0.183,12.76,13.441,8.054,0.138,8.054,NA,NA,NA,NA,1579,NA,NA,NA,NA
217862,Cheilopogon cyanopterus,fish,ok,70694,79441,15432,86.584,73.111,0.831,90.219,62.238,-13.473,0.427,NA,-13.391,NA,-1.757,-14.473,0,45162,NA,1714,23818
273364,Chaetodon trichrous,fish,absent_in_mask,0,2122,0,NA,NA,NA,7.971,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
219075,Calotomus spinidens,fish,ok,2824,15033,11148,17.373,15.89,0.21,18.934,6.625,-1.483,0.097,-1.483,NA,NA,NA,NA,2824,NA,NA,NA,NA
276243,Carangoides otrynter,fish,absent_in_mask,0,4822,0,NA,NA,NA,6.061,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
279150,Cephalopholis microprion,fish,absent_in_mask,0,714,0,NA,NA,NA,2.987,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
273363,Chaetodon tinkeri,fish,ok,6762,11815,17346,36.063,86.834,0.357,26.787,67.355,50.771,0.188,50.771,NA,NA,NA,NA,6762,NA,NA,NA,NA
280120,Chaetodontoplus meredithi,fish,absent_in_mask,0,670,0,NA,NA,NA,19.229,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
218414,Caranx ignobilis,fish,ok,20662,2249,62827,26.928,16.279,0.449,26.384,5.915,-10.648,0.241,-10.648,NA,NA,NA,NA,20662,NA,NA,NA,NA
274452,Careproctus oregonensis,fish,ok,7298,6564,7274,28.218,50.48,0.126,25.94,33.843,22.262,0.345,23.295,NA,-1.508,NA,NA,6994,NA,304,0,NA
280067,Centropomus robalito,fish,absent_in_mask,0,935,0,NA,NA,NA,15.767,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
278829,Centropyge aurantonotus,fish,absent_in_mask,0,24208,0,NA,NA,NA,62.816,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,0
273347,Chaetodon mertensii,fish,ok,3630,19033,4463,36.779,19.256,0.349,38.092,10.717,-17.523,0.134,-17.523,NA,NA,NA,NA,3630,NA,NA,NA,NA
217861,Cheilopogon nigricans,fish,ok,47066,18364,85365,24.635,72.79,0.519,36.078,55.316,48.155,0.312,48.155,NA,NA,NA,NA,47066,NA,NA,NA,NA
126840,Chiasmodon niger,fish,ok,56256,23,17969,81.769,53.339,-0.218,81.743,54.097,-28.43,0.758,NA,-28.379,NA,43.372,-29.538,NA,41504,NA,195,14557
218418,Caranx tille,fish,ok,866,2492,3482,6.493,14.793,0.164,11.393,7.666,8.3,0.127,8.3,NA,NA,NA,NA,866,NA,NA,NA,NA
217823,Carapus mourlani,fish,ok,9700,13269,19455,40.304,20.179,0.5,34.075,15.571,-20.125,0.229,-20.125,NA,NA,NA,NA,9700,NA,NA,0,NA
218388,Carangoides oblongus,fish,absent_in_mask,0,12833,0,NA,NA,NA,15.344,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA
276711,Calotomus zonarchus,fish,ok,4915,12063,532,63.894,53.635,0.39,35.285,51.229,-10.259,0.281,-10.259,NA,NA,NA,NA,4915,NA,NA,NA,NA
276248,Cantherhines dumerilii,fish,ok,12777,8577,17931,43.226,29.574,0.442,35.983,16.591,-13.652,0.325,-13.652,NA,NA,NA,NA,12777,NA,NA,NA,NA
127411,Canthigaster rostrata,fish,ok,20769,386,15002,51.806,62.748,0.291,51.45,52.85,10.943,0.574,NA,21.213,NA,1.644,5.066,NA,7908,NA,1646,11215
105797,Carcharhinus plumbeus,fish,ok,45428,26756,11561,62.478,67.755,0.522,50.517,60.352,5.277,0.542,-24.733,15.919,NA,20.871,2.685,7252,19747,NA,3038,15391
274473,Careproctus simus,fish,ok,39986,3624,84470,40.529,40.035,0.433,38.944,27.396,-0.495,0.312,56.483,NA,-0.914,-15.363,NA,412,NA,39099,475,NA
280065,Centropomus pectinatus,fish,ok,4919,609,8816,47.038,43.488,0.1,44.705,41.136,-3.55,0.343,NA,-29.632,NA,18.926,42.631,NA,3034,NA,334,1551
159348,Centropristis striata,fish,ok,28032,162,25195,54.415,68.13,0.621,54.488,43.619,13.715,0.525,NA,9.498,NA,16.784,19.112,NA,14938,NA,3296,9798
273339,Chaetodon fremblii,fish,ok,4159,7292,1018,62.565,60.794,0.311,41.455,56.32,-1.771,0.334,-1.771,NA,NA,NA,NA,4159,NA,NA,NA,NA
273359,Chaetodon reticulatus,fish,ok,8481,10899,21152,41.63,28.907,0.403,35.835,14.016,-12.723,0.209,-12.723,NA,NA,NA,NA,8481,NA,NA,NA,NA
280110,Chaenopsis schmitti,fish,absent_in_mask,0,619,0,NA,NA,NA,5.261,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA
273341,Chaetodon guentheri,fish,absent_in_mask,0,17818,0,NA,NA,NA,18.409,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA
278152,Chascanopsetta prognatha,fish,absent_in_mask,0,9210,0,NA,NA,NA,17.661,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA
278863,Calumia profunda,fish,ok,680,2798,2021,6.719,22.889,0.322,11.245,10.094,16.17,0.124,16.17,NA,NA,NA,NA,680,NA,NA,NA,NA
273195,Callionymus leucobranchialis,fish,absent_in_mask,0,634,0,NA,NA,NA,11.456,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
219946,Canthigaster margaritata,fish,absent_in_mask,0,301,0,NA,NA,NA,5.141,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
219942,Canthigaster tyleri,fish,absent_in_mask,0,5277,0,NA,NA,NA,25.834,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
280101,Chaenomugil proboscideus,fish,ok,0,5817,900,NA,NA,NA,24.061,12.834,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA
273354,Chaetodon plebeius,fish,absent_in_mask,0,16817,0,NA,NA,NA,29.74,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
220058,Cantherhines pardalis,fish,ok,3012,15079,4850,33.774,21.174,0.278,30.589,11.576,-12.6,0.131,-12.6,NA,NA,NA,NA,3012,NA,NA,NA,NA
218175,Cephalopholis polleni,fish,ok,3672,16738,10894,36.432,62.677,0.175,31.468,53.65,26.245,0.117,26.245,NA,NA,NA,NA,3672,NA,NA,NA,NA
209377,Cheilodipterus artus,fish,ok,2766,18544,4593,32.409,14.096,0.315,26.769,8.445,-18.314,0.107,-18.314,NA,NA,NA,NA,2766,NA,NA,NA,NA
126381,Cheilopogon exsiliens,fish,ok,73334,177,38548,87.23,86.379,0.921,87.172,67.016,-0.851,0.654,NA,0.94,NA,0.575,-4.531,0,47029,NA,2458,23847
218749,Chaetodon selene,fish,absent_in_mask,0,628,0,NA,NA,NA,10.288,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
272152,Cheilopogon doederleinii,fish,ok,0,2440,4643,NA,NA,NA,4.477,6.586,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
280137,Cheilotrema saturnum,fish,ok,1828,21,8674,54.108,38.361,0.019,54.192,22.515,-15.747,0.174,-17.971,NA,NA,32.84,NA,1748,NA,NA,80,NA
275239,Chilomycterus antennatus,fish,ok,10131,8639,7521,51.259,43.08,0.079,44.536,37.035,-8.18,0.385,NA,-12.614,NA,-31.464,-0.247,NA,3618,NA,1141,5372
272156,Cheilopogon katoptron,fish,absent_in_mask,0,2152,0,NA,NA,NA,9.989,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
218745,Chaetodon miliaris,fish,ok,11627,7289,15108,47.311,32.551,0.608,35.773,18.288,-14.76,0.342,-14.76,NA,NA,NA,NA,11627,NA,NA,NA,NA
217466,Channomuraena vittata,fish,ok,10572,5829,41105,26.649,69.897,0.127,27.416,60.871,43.247,0.184,48.528,25.581,NA,NA,NA,8139,2433,NA,0,0
275055,Chauliodus macouni,fish,ok,186345,24018,455,82.556,65.213,0.452,73.696,65.088,-17.343,0.884,3.794,NA,-23.602,27.733,NA,34807,NA,147392,4146,NA
273217,Callionymus pleurostictus,fish,ok,2173,2458,11355,16.75,10.609,0.109,15.806,5.117,-6.141,0.136,-6.141,NA,NA,NA,NA,2173,NA,NA,NA,NA
220055,Cantherhines fronticinctus,fish,ok,1030,18237,2950,35.161,12.377,0.407,31.365,7.098,-22.784,0.046,-22.784,NA,NA,NA,NA,1030,NA,NA,NA,NA
280066,Centropomus poeyi,fish,ok,269,20017,44,34.371,34.858,0.478,48.829,34.9,0.487,0.013,NA,-1.606,NA,NA,25.206,NA,248,NA,0,21
218181,Cephalopholis urodeta,fish,ok,7536,12711,38598,29.208,15.722,0.278,30.715,6.502,-13.486,0.128,-13.486,NA,NA,NA,NA,7536,NA,NA,NA,NA
158796,Ceratias uranoscopus,fish,ok,154424,308121,643,80.502,66.181,-0.032,56.823,66.178,-14.32,0.333,-41.3,9.871,NA,63.372,19.998,79093,50442,0,1372,23517
280078,Ceratobregma acanthops,fish,absent_in_mask,0,5363,0,NA,NA,NA,17.986,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
126560,Chaenophryne longiceps,fish,ok,199455,403,106357,50.944,62.826,0.06,50.912,58.899,11.882,0.651,12.651,3.078,NA,60.733,NA,182925,16444,NA,86,0
105906,Centroscyllium fabricii,fish,ok,16253,1956,34340,58.935,45.984,0.453,53.822,49.223,-12.952,0.309,NA,-13.863,NA,10.821,NA,NA,15653,NA,600,0
280095,Chaenogaleus macrostoma,fish,absent_in_mask,0,682,0,NA,NA,NA,29.31,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
