taxon_id,scientific_name,sp_cat,ax_status,n_shared,n_am_only,n_ax_only,mean_am,mean_ax,cor,mean_am_all,mean_ax_all,delta,jaccard,delta_PA,delta_AT,delta_AK,delta_other,delta_GA,n_shared_PA,n_shared_AT,n_shared_AK,n_shared_other,n_shared_GA
159570,Prionotus alatus,fish,ok,24790,3255,14807,62.909,73.707,0.393,59.266,54.868,10.798,0.579,NA,10.404,NA,13.061,10.74,NA,9245,NA,1958,13587
277160,Pomacentrus nagasakiensis,fish,ok,0,682,4623,NA,NA,NA,29.31,4.346,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
277173,Pomacentrus spilotoceps,fish,absent_in_mask,0,14049,0,NA,NA,NA,25.661,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
277448,Pseudanthias dispar,fish,ok,3385,12030,5564,26.805,17.367,0.173,18.184,11.642,-9.438,0.161,-9.438,NA,NA,NA,NA,3385,NA,NA,NA,NA
282243,Photocorynus spiniceps,fish,ok,88326,255697,30093,82.231,55.334,-0.159,86.592,52.786,-26.897,0.236,-41.829,37.399,NA,80.763,25.906,69845,5793,0,8,12680
278235,Plagiotremus ewaensis,fish,ok,6010,7191,9832,51.894,44.448,0.488,35.823,21.627,-7.445,0.261,-7.445,NA,NA,NA,NA,6010,NA,NA,NA,NA
218031,Phoxocampus belcheri,fish,absent_in_mask,0,16896,0,NA,NA,NA,21.726,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
159287,Pomacanthus arcuatus,fish,ok,18842,5537,11637,59.058,74.521,0.364,52.033,59.931,15.463,0.523,NA,9.364,NA,1.573,22.483,NA,7142,NA,1845,9855
212966,Pomacentrus bankanensis,fish,ok,2900,3377,7865,26.02,15.74,0.259,21.223,9.055,-10.28,0.205,-10.28,NA,NA,NA,NA,2900,NA,NA,NA,NA
219554,Priolepis kappa,fish,ok,4913,13258,10356,34.313,25.891,0.16,31.574,18.341,-8.421,0.172,-8.421,NA,NA,NA,NA,4913,NA,NA,NA,NA
282328,Praealticus bilineatus,fish,absent_in_mask,0,4311,0,NA,NA,NA,23.939,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
276037,Pristigenys serrula,fish,ok,2283,40,2144,31.894,63.937,0.112,31.853,48.258,32.043,0.511,30.979,NA,NA,56.548,NA,2188,NA,NA,95,NA
