worms_id,botw_id,redlist_code,worms_id_url,scientific_names_dataset,scientific_names_dataset_url,scientific_name_accepted,taxon_rank,common_name,taxonomic_group,entity_descriptions,lead_agency,fws_esa,fws_esa_all,is_bcc
430653,NA,NA,https://www.marinespecies.org/aphia.php?p=taxdetails&id=430653,Acropora retusa,https://ecos.fws.gov/ecp/species/9340,Acropora retusa,Species,No common name,Corals,Wherever found,NMFS,TN,TN,FALSE
288241,NA,NA,https://www.marinespecies.org/aphia.php?p=taxdetails&id=288241,Acropora rudis,https://ecos.fws.gov/ecp/species/9321,Acropora rudis,Species,No common name,Corals,Wherever found,NMFS,TN,TN,FALSE
430655,NA,NA,https://www.marinespecies.org/aphia.php?p=taxdetails&id=430655,Acropora speciosa,https://ecos.fws.gov/ecp/species/9341,Acropora speciosa,Species,No common name,Corals,Wherever found,NMFS,TN,TN,FALSE
207081,NA,NA,https://www.marinespecies.org/aphia.php?p=taxdetails&id=207081,Acropora striata,https://ecos.fws.gov/ecp/species/9342,Acropora striata,Species,No common name,Corals,Wherever found,NMFS,LC,LC,FALSE
288254,NA,NA,https://www.marinespecies.org/aphia.php?p=taxdetails&id=288254,Acropora tenella,https://ecos.fws.gov/ecp/species/9343,Acropora tenella,Species,No common name,Corals,Wherever found,NMFS,TN,TN,FALSE
288262,NA,NA,https://www.marinespecies.org/aphia.php?p=taxdetails&id=288262,Acropora vaughani,https://ecos.fws.gov/ecp/species/9344,Acropora vaughani,Species,No common name,Corals,Wherever found,NMFS,LC,LC,FALSE
288263,NA,NA,https://www.marinespecies.org/aphia.php?p=taxdetails&id=288263,Acropora verweyi,https://ecos.fws.gov/ecp/species/9345,Acropora verweyi,Species,No common name,Corals,Wherever found,NMFS,LC,LC,FALSE
1491018,NA,NA,https://www.marinespecies.org/aphia.php?p=taxdetails&id=1491018,Actinemys marmorata,https://ecos.fws.gov/ecp/species/1111,Actinemys marmorata,Species,Northwestern Pond Turtle,Reptiles,Wherever found,FWS,TN,TN,FALSE
1264668,22696634,LC,https://www.marinespecies.org/aphia.php?p=taxdetails&id=1264668,Aechmophorus clarkii,https://ecos.fws.gov/ecp/species/10575,Aechmophorus clarkii,Species,Clark's Grebe,Birds,NA,FWS,LC,LC,TRUE
366617,22696631,LC,https://www.marinespecies.org/aphia.php?p=taxdetails&id=366617,Aechmophorus occidentalis,https://ecos.fws.gov/ecp/species/6743,Aechmophorus occidentalis,Species,Western Grebe,Birds,Wherever found,FWS,LC,LC,TRUE
344015,22694915,LC,https://www.marinespecies.org/aphia.php?p=taxdetails&id=344015,Aethia cristatella,https://ecos.fws.gov/ecp/species/11887,Aethia cristatella,Species,Crested auklet,Birds,NA,FWS,LC,LC,FALSE
344017,22694918,LC,https://www.marinespecies.org/aphia.php?p=taxdetails&id=344017,Aethia pygmaea,https://ecos.fws.gov/ecp/species/9717,Aethia pygmaea,Species,Whiskered Auklet,Birds,Wherever found,FWS,LC,LC,TRUE
287915,NA,NA,https://www.marinespecies.org/aphia.php?p=taxdetails&id=287915,Agaricia lamarcki,https://ecos.fws.gov/ecp/species/9315,Agaricia lamarcki,Species,Lamarck's Sheet Coral,Corals,Wherever found,NMFS,LC,LC,FALSE
344639,NA,NA,https://www.marinespecies.org/aphia.php?p=taxdetails&id=344639,Aipysurus fuscus,https://ecos.fws.gov/ecp/species/10527,Aipysurus fuscus,Species,Dusky sea snake,Reptiles,NA,NMFS,EN,EN,FALSE
137128,22694852,LC,https://www.marinespecies.org/aphia.php?p=taxdetails&id=137128,Alca torda,https://ecos.fws.gov/ecp/species/10461,Alca torda,Species,Razorbill,Birds,Wherever found,FWS,LC,LC,FALSE
1429769,NA,NA,https://www.marinespecies.org/aphia.php?p=taxdetails&id=1429769,Aliger gigas,https://ecos.fws.gov/ecp/species/12027,Aliger gigas,Species,Queen Conch,Snails,NA,NMFS,TN,TN,FALSE
137129,22694837,LC,https://www.marinespecies.org/aphia.php?p=taxdetails&id=137129,Alle alle,https://ecos.fws.gov/ecp/species/6041,Alle alle,Species,Dovekie,Birds,Wherever found,FWS,LC,LC,FALSE
158667,NA,NA,https://www.marinespecies.org/aphia.php?p=taxdetails&id=158667,Alosa aestivalis,https://ecos.fws.gov/ecp/species/9388,Alosa aestivalis,Species,Blueback herring,Fishes,Wherever found,NMFS,LC,LC,FALSE
272248,NA,NA,https://www.marinespecies.org/aphia.php?p=taxdetails&id=272248,Alosa alabamae,https://ecos.fws.gov/ecp/species/10482,Alosa alabamae,Species,Alabama shad,Fishes,Wherever found,FWS,LC,LC,FALSE
272250,NA,NA,https://www.marinespecies.org/aphia.php?p=taxdetails&id=272250,Alosa chrysochloris,https://ecos.fws.gov/ecp/species/11187,Alosa chrysochloris,Species,Skipjack Herring,Algae,NA,FWS,LC,LC,FALSE
158668,NA,NA,https://www.marinespecies.org/aphia.php?p=taxdetails&id=158668,Alosa mediocris,https://ecos.fws.gov/ecp/species/11189,Alosa mediocris,Species,Hickory Shad,Fishes,NA,FWS,LC,LC,FALSE
158669,NA,NA,https://www.marinespecies.org/aphia.php?p=taxdetails&id=158669,Alosa pseudoharengus,https://ecos.fws.gov/ecp/species/9387,Alosa pseudoharengus,Species,alewife,Fishes,Wherever found,NMFS,LC,LC,FALSE
158670,NA,NA,https://www.marinespecies.org/aphia.php?p=taxdetails&id=158670,Alosa sapidissima,https://ecos.fws.gov/ecp/species/10927,Alosa sapidissima,Species,American shad,Fishes,NA,FWS,LC,LC,FALSE
207192,NA,NA,https://www.marinespecies.org/aphia.php?p=taxdetails&id=207192,Alveopora allingi,https://ecos.fws.gov/ecp/species/9358,Alveopora allingi,Species,No common name,Corals,Wherever found,NMFS,LC,LC,FALSE
207196,NA,NA,https://www.marinespecies.org/aphia.php?p=taxdetails&id=207196,Alveopora fenestrata,https://ecos.fws.gov/ecp/species/9359,Alveopora fenestrata,Species,No common name,Corals,Wherever found,NMFS,LC,LC,FALSE
207201,NA,NA,https://www.marinespecies.org/aphia.php?p=taxdetails&id=207201,Alveopora verrilliana,https://ecos.fws.gov/ecp/species/9360,Alveopora verrilliana,Species,No common name,Corals,Wherever found,NMFS,LC,LC,FALSE
1451671,NA,NA,https://www.marinespecies.org/aphia.php?p=taxdetails&id=1451671,Ammospiza maritima macgillivraii,https://ecos.fws.gov/ecp/species/9775,Ammospiza maritima macgillivraii,Subspecies,MacGillivray's Seaside Sparrow,Birds,Wherever found,FWS,LC,LC,TRUE
289242,NA,NA,https://www.marinespecies.org/aphia.php?p=taxdetails&id=289242,Anacropora puertogalerae,https://ecos.fws.gov/ecp/species/9346,Anacropora puertogalerae,Species,No common name,Corals,Wherever found,NMFS,LC,LC,FALSE
289244,NA,NA,https://www.marinespecies.org/aphia.php?p=taxdetails&id=289244,Anacropora spinosa,https://ecos.fws.gov/ecp/species/9322,Anacropora spinosa,Species,No common name,Corals,Wherever found,NMFS,TN,TN,FALSE
225949,NA,NA,https://www.marinespecies.org/aphia.php?p=taxdetails&id=225949,Anas aucklandica nesiotis,https://ecos.fws.gov/ecp/species/2049,Anas aucklandica,Species,Campbell Island flightless teal,Birds,Wherever found,FWS,EN,EN,FALSE
422573,22680287,LC,https://www.marinespecies.org/aphia.php?p=taxdetails&id=422573,Anas bahamensis,https://ecos.fws.gov/ecp/species/6589,Anas bahamensis,Species,White-cheeked pintail,Birds,Puerto Rico,FWS,LC,LC,TRUE
158943,22680321,LC,https://www.marinespecies.org/aphia.php?p=taxdetails&id=158943,Anas crecca,https://ecos.fws.gov/ecp/species/9557,Anas crecca,Species,Green-winged teal,Birds,Wherever found,FWS,LC,LC,FALSE
148791,22680186,LC,https://www.marinespecies.org/aphia.php?p=taxdetails&id=148791,Anas platyrhynchos,https://ecos.fws.gov/ecp/species/9559,Anas platyrhynchos,Species,Mallard,Birds,Wherever found,FWS,LC,LC,FALSE
158562,NA,NA,https://www.marinespecies.org/aphia.php?p=taxdetails&id=158562,Anguilla rostrata,https://ecos.fws.gov/ecp/species/7759,Anguilla rostrata,Species,American eel,Fishes,Wherever found,FWS and NMFS,LC,LC,FALSE
159463,NA,NA,https://www.marinespecies.org/aphia.php?p=taxdetails&id=159463,Anoplopoma fimbria,https://ecos.fws.gov/ecp/species/11111,Anoplopoma fimbria,Species,Sablefish,Fishes,NA,FWS,LC,LC,FALSE
217374,NA,NA,https://www.marinespecies.org/aphia.php?p=taxdetails&id=217374,Anoxypristis cuspidata,https://ecos.fws.gov/ecp/species/9969,Anoxypristis cuspidata,Species,Narrow sawfish,Fishes,Wherever found,NMFS,EN,EN,FALSE
1488266,NA,NA,https://www.marinespecies.org/aphia.php?p=taxdetails&id=1488266,Anser serrirostris,https://ecos.fws.gov/ecp/species/10868,Anser serrirostris,Species,No common name,Birds,NA,FWS,LC,LC,FALSE
1484330,22736393,NT,https://www.marinespecies.org/aphia.php?p=taxdetails&id=1484330,Antrostomus vociferus; Caprimulgus vociferus,https://ecos.fws.gov/ecp/species/10678,Antrostomus vociferus,Species,Eastern Whip-poor-will,Birds,NA; Wherever found,FWS,LC,LC,TRUE
225773,22697752,NT,https://www.marinespecies.org/aphia.php?p=taxdetails&id=225773,Aptenodytes forsteri,https://ecos.fws.gov/ecp/species/3088,Aptenodytes forsteri,Species,emperor penguin,Birds,Wherever found,FWS,TN,TN,FALSE
159238,NA,NA,https://www.marinespecies.org/aphia.php?p=taxdetails&id=159238,Archosargus probatocephalus,https://ecos.fws.gov/ecp/species/11267,Archosargus probatocephalus,Species,Sheepshead,Fishes,NA,FWS,LC,LC,FALSE
