scientific_name,reason
Butis koilomatodon,iucn_range_outside_us_eez
Cabillus lacertops,iucn_range_outside_us_eez
Cabillus macrophthalmus,iucn_range_outside_us_eez
Caesio cuning,iucn_range_outside_us_eez
Caesio lunaris,iucn_range_outside_us_eez
Caffrogobius gilchristi,iucn_range_outside_us_eez
Calamus cervigoni,iucn_range_outside_us_eez
Callanthias japonicus,iucn_range_outside_us_eez
Callechelys cliffi,iucn_range_outside_us_eez
Callechelys eristigma,iucn_range_outside_us_eez
Callionymus delicatulus,iucn_range_outside_us_eez
Callionymus japonicus,iucn_range_outside_us_eez
Callionymus leucobranchialis,iucn_range_outside_us_eez
Callogobius centrolepis,iucn_range_outside_us_eez
Callogobius clitellus,iucn_range_outside_us_eez
Callogobius hastatus,iucn_range_outside_us_eez
Callogobius okinawae,iucn_range_outside_us_eez
Callogobius snelliusi,iucn_range_outside_us_eez
Callorhinchus callorynchus,iucn_range_outside_us_eez
Calumia profunda,iucn_range_outside_us_eez
Cantheschenia grandisquamis,iucn_range_outside_us_eez
Canthigaster callisterna,iucn_range_outside_us_eez
Canthigaster compressa,iucn_range_outside_us_eez
Canthigaster margaritata,iucn_range_outside_us_eez
Canthigaster ocellicincta,iucn_range_outside_us_eez
Canthigaster punctatissima,iucn_range_outside_us_eez
Canthigaster tyleri,iucn_range_outside_us_eez
Caperea marginata,iucn_range_outside_us_eez
Caragobius rubristriatus,iucn_range_outside_us_eez
Carangoides oblongus,iucn_range_outside_us_eez
Carangoides otrynter,iucn_range_outside_us_eez
Carangoides praeustus,iucn_range_outside_us_eez
Caranx heberi,iucn_range_outside_us_eez
Carcharhinus amboinensis,iucn_range_outside_us_eez
Carcharhinus hemiodon,iucn_range_outside_us_eez
Carcharhinus sealei,iucn_range_outside_us_eez
Carcharhinus sorrah,iucn_range_outside_us_eez
Cataetyx lepidogenys,iucn_range_outside_us_eez
Cataetyx simus,iucn_range_outside_us_eez
Catalaphyllia jardinei,iucn_range_outside_us_eez
Caulolatilus hubbsi,iucn_range_outside_us_eez
Centriscus cristatus,iucn_range_outside_us_eez
Centriscus scutatus,iucn_range_outside_us_eez
Centroberyx lineatus,iucn_range_outside_us_eez
Centrophorus atromarginatus,iucn_range_outside_us_eez
Centrophorus moluccensis,iucn_range_outside_us_eez
Centropomus armatus,iucn_range_outside_us_eez
Centropomus medius,iucn_range_outside_us_eez
Centropomus nigrescens,iucn_range_outside_us_eez
Centropomus poeyi,iucn_range_outside_us_eez
Centropomus robalito,iucn_range_outside_us_eez
Centropomus unionensis,iucn_range_outside_us_eez
Centropomus viridis,iucn_range_outside_us_eez
Centropyge aurantonotus,iucn_range_outside_us_eez
Centropyge ferrugata,iucn_range_outside_us_eez
Centropyge multispinis,iucn_range_outside_us_eez
Centropyge nox,iucn_range_outside_us_eez
Centropyge tibicen,iucn_range_outside_us_eez
Centropyge venusta,iucn_range_outside_us_eez
Centroscyllium kamoharai,iucn_range_outside_us_eez
Cephalopholis boenak,iucn_range_outside_us_eez
Cephalopholis microprion,iucn_range_outside_us_eez
Cephaloscyllium umbratile,iucn_range_outside_us_eez
Cephalurus cephalus,iucn_range_outside_us_eez
Cepola australis,iucn_range_outside_us_eez
Ceratobregma acanthops,iucn_range_outside_us_eez
Chaenogaleus macrostoma,iucn_range_outside_us_eez
Chaenomugil proboscideus,iucn_range_outside_us_eez
Chaenopsis coheni,iucn_range_outside_us_eez
Chaenopsis schmitti,iucn_range_outside_us_eez
Chaetodermis penicilligerus,iucn_range_outside_us_eez
Chaetodon adiergastos,iucn_range_outside_us_eez
Chaetodon argentatus,iucn_range_outside_us_eez
Chaetodon baronessa,iucn_range_outside_us_eez
Chaetodon collare,iucn_range_outside_us_eez
Chaetodon decussatus,iucn_range_outside_us_eez
Chaetodon guentheri,iucn_range_outside_us_eez
Chaetodon madagaskariensis,iucn_range_outside_us_eez
Chaetodon oxycephalus,iucn_range_outside_us_eez
Chaetodon plebeius,iucn_range_outside_us_eez
Chaetodon selene,iucn_range_outside_us_eez
Chaetodon speculum,iucn_range_outside_us_eez
Chaetodon triangulum,iucn_range_outside_us_eez
Chaetodon trichrous,iucn_range_outside_us_eez
Chaetodon wiebeli,iucn_range_outside_us_eez
Chaetodon xanthurus,iucn_range_outside_us_eez
Chaetodontoplus conspicillatus,iucn_range_outside_us_eez
Chaetodontoplus duboulayi,iucn_range_outside_us_eez
Chaetodontoplus melanosoma,iucn_range_outside_us_eez
Chaetodontoplus meredithi,iucn_range_outside_us_eez
Chaetodontoplus personifer,iucn_range_outside_us_eez
Chaetodontoplus poliourus,iucn_range_outside_us_eez
Chaetodontoplus septentrionalis,iucn_range_outside_us_eez
Champsodon capensis,iucn_range_outside_us_eez
Chascanopsetta prognatha,iucn_range_outside_us_eez
Chaunax breviradius,iucn_range_outside_us_eez
Chaunax fimbriatus,iucn_range_outside_us_eez
Chaunax reticulatus,iucn_range_outside_us_eez
Cheilodipterus alleni,iucn_range_outside_us_eez
Cheilodipterus intermedius,iucn_range_outside_us_eez
Cheilodipterus isostigmus,iucn_range_outside_us_eez
Cheilodipterus singapurensis,iucn_range_outside_us_eez
Cheilopogon dorsomacula,iucn_range_outside_us_eez
Cheilopogon papilio,iucn_range_outside_us_eez
Cheilopogon xenopterus,iucn_range_outside_us_eez
