aphia,species,phylum,class,rec_usa,cells_usa,min_year_usa,max_year_usa,in_v9,has_rng,mp_sdm
175326,Navicula vanhoeffenii,Heterokontophyta,Bacillariophyceae,66,35,1975,1977,FALSE,FALSE,available
292350,Mitrocoma cellularia,Cnidaria,Hydrozoa,4734,35,1905,2022,FALSE,FALSE,NA
421977,Macrocoeloma eutheca,Arthropoda,Malacostraca,47,35,1960,2021,FALSE,FALSE,NA
332022,Sphaerosyllis perkinsi,Annelida,Polychaeta,49,35,1984,2015,FALSE,FALSE,NA
287204,Chrysaora colorata,Cnidaria,Scyphozoa,121,35,1990,2022,FALSE,FALSE,NA
329206,Malmgreniella macginitiei,Annelida,Polychaeta,40,35,1999,2003,FALSE,FALSE,NA
130272,Magelona papillicornis,Annelida,Polychaeta,51,35,1975,2010,FALSE,FALSE,available
334725,Scalibregma stenocerum,Annelida,Polychaeta,42,35,1977,2015,FALSE,FALSE,available
144664,Polysiphonia scopulorum,Rhodophyta,Florideophyceae,56,35,1953,2005,FALSE,FALSE,available
286512,Narella bowersi,Cnidaria,Octocorallia,185,35,1902,2021,FALSE,FALSE,NA
372327,Ceramium clarionense,Rhodophyta,Florideophyceae,48,35,1981,2007,FALSE,FALSE,NA
1704259,Collophidium serpentinum,Radiozoa,Polycystina,170,35,2016,2021,FALSE,FALSE,NA
451195,Harbansus dayi,Arthropoda,Ostracoda,72,35,1964,1977,FALSE,FALSE,NA
146768,Caprella mutica,Arthropoda,Malacostraca,155,35,1973,2019,FALSE,FALSE,available
275386,Narcine bancroftii,Chordata,Elasmobranchii,36,34,1883,2011,TRUE,TRUE,NA
149266,Coscinodiscus curvatulus,Heterokontophyta,Bacillariophyceae,62,34,1934,2012,FALSE,FALSE,available
182361,Nippoleucon hinumensis,Arthropoda,Malacostraca,137,34,1991,2010,FALSE,FALSE,available
418846,Chironephthya caribaea,Cnidaria,Octocorallia,237,34,1972,2018,FALSE,FALSE,NA
107206,Neolithodes grimaldii,Arthropoda,Malacostraca,36,34,1883,2005,FALSE,FALSE,available
250126,Didemnum vexillum,Chordata,Ascidiacea,80,34,1997,2019,FALSE,FALSE,available
366320,Elassochirus cavimanus,Arthropoda,Malacostraca,39,34,1888,2006,FALSE,FALSE,NA
102199,Eusirus cuspidatus,Arthropoda,Malacostraca,51,34,1911,2021,FALSE,FALSE,available
214295,Sphacelaria novae-hollandiae,Ochrophyta,Phaeophyceae,48,34,1953,2007,FALSE,FALSE,NA
1739403,Ceramothamnion dumosertum,Rhodophyta,Florideophyceae,64,34,1954,2007,FALSE,FALSE,NA
372563,Cryptosiphonia woodii,Rhodophyta,Florideophyceae,109,34,2001,2022,FALSE,FALSE,NA
238203,Myrianida dentalia,Annelida,Polychaeta,60,34,1905,2019,FALSE,FALSE,available
395036,Pyromaia tuberculata,Arthropoda,Malacostraca,125,34,1889,2019,FALSE,FALSE,NA
573878,Hemiselmis rufescens,Cryptophyta,Cryptophyceae,198,34,2006,2021,FALSE,FALSE,available
1766042,Polyschides quadridentatus,Mollusca,Scaphopoda,85,34,1975,2004,FALSE,FALSE,NA
220915,Candacia bispinosa,Arthropoda,Copepoda,39,34,1914,2016,FALSE,FALSE,available
195996,Syllis alosae,Annelida,Polychaeta,75,34,1995,2008,FALSE,FALSE,not available
374692,Polysiphonia homoia,Rhodophyta,Florideophyceae,52,34,1959,2007,FALSE,FALSE,NA
