dataset_id,category,scenario,year_min,year_max,depth,title,summary,variables
dfe_ssp245_2020_2100_depthmax,dfe,ssp245,2020,2100,depthmax,Bio-Oracle DissolvedIron [depthMax] SSP245 2020-2100.,"Uses attributes recommended by https://cfconventions.org

cdm_data_type = Grid
VARIABLES (all of which use the dimensions [time][latitude][longitude]):
dfe_max (Maximum DissolvedIron, MMol' 'M-3)
dfe_ltmax (Long-term maximum DissolvedIron, MMol' 'M-3)
dfe_mean (Average DissolvedIron, MMol' 'M-3)
dfe_ltmin (Long-term minimum DissolvedIron, MMol' 'M-3)
dfe_min (Minimum DissolvedIron, MMol' 'M-3)
dfe_range (Range DissolvedIron, MMol' 'M-3)
dfe_sd (Standard deviation DissolvedIron, MMol' 'M-3)
","dfe_ltmax, dfe_ltmin, dfe_max, dfe_mean, dfe_min, dfe_range, dfe_sd"
dfe_ssp370_2020_2100_depthmax,dfe,ssp370,2020,2100,depthmax,Bio-Oracle DissolvedIron [depthMax] SSP370 2020-2100.,"Uses attributes recommended by https://cfconventions.org

cdm_data_type = Grid
VARIABLES (all of which use the dimensions [time][latitude][longitude]):
dfe_max (Maximum DissolvedIron, MMol' 'M-3)
dfe_ltmax (Long-term maximum DissolvedIron, MMol' 'M-3)
dfe_mean (Average DissolvedIron, MMol' 'M-3)
dfe_ltmin (Long-term minimum DissolvedIron, MMol' 'M-3)
dfe_min (Minimum DissolvedIron, MMol' 'M-3)
dfe_range (Range DissolvedIron, MMol' 'M-3)
dfe_sd (Standard deviation DissolvedIron, MMol' 'M-3)
","dfe_ltmax, dfe_ltmin, dfe_max, dfe_mean, dfe_min, dfe_range, dfe_sd"
dfe_ssp460_2020_2100_depthmax,dfe,ssp460,2020,2100,depthmax,Bio-Oracle DissolvedIron [depthMax] SSP460 2020-2100.,"Uses attributes recommended by https://cfconventions.org

cdm_data_type = Grid
VARIABLES (all of which use the dimensions [time][latitude][longitude]):
dfe_max (Maximum DissolvedIron, MMol' 'M-3)
dfe_ltmax (Long-term maximum DissolvedIron, MMol' 'M-3)
dfe_mean (Average DissolvedIron, MMol' 'M-3)
dfe_ltmin (Long-term minimum DissolvedIron, MMol' 'M-3)
dfe_min (Minimum DissolvedIron, MMol' 'M-3)
dfe_range (Range DissolvedIron, MMol' 'M-3)
dfe_sd (Standard deviation DissolvedIron, MMol' 'M-3)
","dfe_ltmax, dfe_ltmin, dfe_max, dfe_mean, dfe_min, dfe_range, dfe_sd"
dfe_ssp585_2020_2100_depthmax,dfe,ssp585,2020,2100,depthmax,Bio-Oracle DissolvedIron [depthMax] SSP585 2020-2100.,"Uses attributes recommended by https://cfconventions.org

cdm_data_type = Grid
VARIABLES (all of which use the dimensions [time][latitude][longitude]):
dfe_max (Maximum DissolvedIron, MMol' 'M-3)
dfe_ltmax (Long-term maximum DissolvedIron, MMol' 'M-3)
dfe_mean (Average DissolvedIron, MMol' 'M-3)
dfe_ltmin (Long-term minimum DissolvedIron, MMol' 'M-3)
dfe_min (Minimum DissolvedIron, MMol' 'M-3)
dfe_range (Range DissolvedIron, MMol' 'M-3)
dfe_sd (Standard deviation DissolvedIron, MMol' 'M-3)
","dfe_ltmax, dfe_ltmin, dfe_max, dfe_mean, dfe_min, dfe_range, dfe_sd"
dfe_baseline_2000_2018_depthmean,dfe,baseline,2000,2018,depthmean,Bio-Oracle DissolvedIron [depthMean] Baseline 2000-2018.,"Uses attributes recommended by https://cfconventions.org

cdm_data_type = Grid
VARIABLES (all of which use the dimensions [time][latitude][longitude]):
dfe_max (Maximum DissolvedIron, MMol' 'M-3)
dfe_ltmax (Long-term maximum DissolvedIron, MMol' 'M-3)
dfe_mean (Average DissolvedIron, MMol' 'M-3)
dfe_ltmin (Long-term minimum DissolvedIron, MMol' 'M-3)
dfe_min (Minimum DissolvedIron, MMol' 'M-3)
dfe_range (Range DissolvedIron, MMol' 'M-3)
","dfe_ltmax, dfe_ltmin, dfe_max, dfe_mean, dfe_min, dfe_range"
dfe_ssp119_2020_2100_depthmean,dfe,ssp119,2020,2100,depthmean,Bio-Oracle DissolvedIron [depthMean] SSP119 2020-2100.,"Uses attributes recommended by https://cfconventions.org

cdm_data_type = Grid
VARIABLES (all of which use the dimensions [time][latitude][longitude]):
dfe_max (Maximum DissolvedIron, MMol' 'M-3)
dfe_ltmax (Long-term maximum DissolvedIron, MMol' 'M-3)
dfe_mean (Average DissolvedIron, MMol' 'M-3)
dfe_ltmin (Long-term minimum DissolvedIron, MMol' 'M-3)
dfe_min (Minimum DissolvedIron, MMol' 'M-3)
dfe_range (Range DissolvedIron, MMol' 'M-3)
dfe_sd (Standard deviation DissolvedIron, MMol' 'M-3)
","dfe_ltmax, dfe_ltmin, dfe_max, dfe_mean, dfe_min, dfe_range, dfe_sd"
dfe_ssp126_2020_2100_depthmean,dfe,ssp126,2020,2100,depthmean,Bio-Oracle DissolvedIron [depthMean] SSP126 2020-2100.,"Uses attributes recommended by https://cfconventions.org

cdm_data_type = Grid
VARIABLES (all of which use the dimensions [time][latitude][longitude]):
dfe_max (Maximum DissolvedIron, MMol' 'M-3)
dfe_ltmax (Long-term maximum DissolvedIron, MMol' 'M-3)
dfe_mean (Average DissolvedIron, MMol' 'M-3)
dfe_ltmin (Long-term minimum DissolvedIron, MMol' 'M-3)
dfe_min (Minimum DissolvedIron, MMol' 'M-3)
dfe_range (Range DissolvedIron, MMol' 'M-3)
dfe_sd (Standard deviation DissolvedIron, MMol' 'M-3)
","dfe_ltmax, dfe_ltmin, dfe_max, dfe_mean, dfe_min, dfe_range, dfe_sd"
dfe_ssp245_2020_2100_depthmean,dfe,ssp245,2020,2100,depthmean,Bio-Oracle DissolvedIron [depthMean] SSP245 2020-2100.,"Uses attributes recommended by https://cfconventions.org

cdm_data_type = Grid
VARIABLES (all of which use the dimensions [time][latitude][longitude]):
dfe_max (Maximum DissolvedIron, MMol' 'M-3)
dfe_ltmax (Long-term maximum DissolvedIron, MMol' 'M-3)
dfe_mean (Average DissolvedIron, MMol' 'M-3)
dfe_ltmin (Long-term minimum DissolvedIron, MMol' 'M-3)
dfe_min (Minimum DissolvedIron, MMol' 'M-3)
dfe_range (Range DissolvedIron, MMol' 'M-3)
dfe_sd (Standard deviation DissolvedIron, MMol' 'M-3)
","dfe_ltmax, dfe_ltmin, dfe_max, dfe_mean, dfe_min, dfe_range, dfe_sd"
dfe_ssp370_2020_2100_depthmean,dfe,ssp370,2020,2100,depthmean,Bio-Oracle DissolvedIron [depthMean] SSP370 2020-2100.,"Uses attributes recommended by https://cfconventions.org

cdm_data_type = Grid
VARIABLES (all of which use the dimensions [time][latitude][longitude]):
dfe_max (Maximum DissolvedIron, MMol' 'M-3)
dfe_ltmax (Long-term maximum DissolvedIron, MMol' 'M-3)
dfe_mean (Average DissolvedIron, MMol' 'M-3)
dfe_ltmin (Long-term minimum DissolvedIron, MMol' 'M-3)
dfe_min (Minimum DissolvedIron, MMol' 'M-3)
dfe_range (Range DissolvedIron, MMol' 'M-3)
dfe_sd (Standard deviation DissolvedIron, MMol' 'M-3)
","dfe_ltmax, dfe_ltmin, dfe_max, dfe_mean, dfe_min, dfe_range, dfe_sd"
dfe_ssp460_2020_2100_depthmean,dfe,ssp460,2020,2100,depthmean,Bio-Oracle DissolvedIron [depthMean] SSP460 2020-2100.,"Uses attributes recommended by https://cfconventions.org

cdm_data_type = Grid
VARIABLES (all of which use the dimensions [time][latitude][longitude]):
dfe_max (Maximum DissolvedIron, MMol' 'M-3)
dfe_ltmax (Long-term maximum DissolvedIron, MMol' 'M-3)
dfe_mean (Average DissolvedIron, MMol' 'M-3)
dfe_ltmin (Long-term minimum DissolvedIron, MMol' 'M-3)
dfe_min (Minimum DissolvedIron, MMol' 'M-3)
dfe_range (Range DissolvedIron, MMol' 'M-3)
dfe_sd (Standard deviation DissolvedIron, MMol' 'M-3)
","dfe_ltmax, dfe_ltmin, dfe_max, dfe_mean, dfe_min, dfe_range, dfe_sd"
