dataset_id,category,scenario,year_min,year_max,depth,title,summary,variables
thetao_baseline_2000_2019_depthmin,thetao,baseline,2000,2019,depthmin,Bio-Oracle OceanTemperature [depthMin] Baseline 2000-2019.,"Uses attributes recommended by https://cfconventions.org

cdm_data_type = Grid
VARIABLES (all of which use the dimensions [time][latitude][longitude]):
thetao_max (Maximum OceanTemperature, degree_C)
thetao_ltmax (Long-term maximum OceanTemperature, degree_C)
thetao_mean (Average OceanTemperature, degree_C)
thetao_ltmin (Long-term minimum OceanTemperature, degree_C)
thetao_min (Minimum OceanTemperature, degree_C)
thetao_range (Range OceanTemperature, degree_C)
","thetao_ltmax, thetao_ltmin, thetao_max, thetao_mean, thetao_min, thetao_range"
thetao_baseline_2000_2019_depthsurf,thetao,baseline,2000,2019,depthsurf,Bio-Oracle OceanTemperature [depthSurf] Baseline 2000-2019.,"Uses attributes recommended by https://cfconventions.org

cdm_data_type = Grid
VARIABLES (all of which use the dimensions [time][latitude][longitude]):
thetao_max (Maximum OceanTemperature, degree_C)
thetao_ltmax (Long-term maximum OceanTemperature, degree_C)
thetao_mean (Average OceanTemperature, degree_C)
thetao_ltmin (Long-term minimum OceanTemperature, degree_C)
thetao_min (Minimum OceanTemperature, degree_C)
thetao_range (Range OceanTemperature, degree_C)
","thetao_ltmax, thetao_ltmin, thetao_max, thetao_mean, thetao_min, thetao_range"
ph_baseline_2000_2018_depthmax,ph,baseline,2000,2018,depthmax,Bio-Oracle pH [depthMax] Baseline 2000-2018.,"Uses attributes recommended by https://cfconventions.org

cdm_data_type = Grid
VARIABLES (all of which use the dimensions [time][latitude][longitude]):
ph_max (Maximum pH, 1)
ph_ltmax (Long-term maximum pH, 1)
ph_mean (Average pH, 1)
ph_ltmin (Long-term minimum pH, 1)
ph_min (Minimum pH, 1)
ph_range (1)
","ph_ltmax, ph_ltmin, ph_max, ph_mean, ph_min, ph_range"
ph_baseline_2000_2018_depthmean,ph,baseline,2000,2018,depthmean,Bio-Oracle pH [depthMean] Baseline 2000-2018.,"Uses attributes recommended by https://cfconventions.org

cdm_data_type = Grid
VARIABLES (all of which use the dimensions [time][latitude][longitude]):
ph_max (Maximum pH, 1)
ph_ltmax (Long-term maximum pH, 1)
ph_mean (Average pH, 1)
ph_ltmin (Long-term minimum pH, 1)
ph_min (Minimum pH, 1)
ph_range (1)
","ph_ltmax, ph_ltmin, ph_max, ph_mean, ph_min, ph_range"
ph_baseline_2000_2018_depthmin,ph,baseline,2000,2018,depthmin,Bio-Oracle pH [depthMin] Baseline 2000-2018.,"Uses attributes recommended by https://cfconventions.org

cdm_data_type = Grid
VARIABLES (all of which use the dimensions [time][latitude][longitude]):
ph_max (Maximum pH, 1)
ph_ltmax (Long-term maximum pH, 1)
ph_mean (Average pH, 1)
ph_ltmin (Long-term minimum pH, 1)
ph_min (Minimum pH, 1)
ph_range (1)
","ph_ltmax, ph_ltmin, ph_max, ph_mean, ph_min, ph_range"
ph_baseline_2000_2018_depthsurf,ph,baseline,2000,2018,depthsurf,Bio-Oracle pH [depthSurf] Baseline 2000-2018.,"Uses attributes recommended by https://cfconventions.org

cdm_data_type = Grid
VARIABLES (all of which use the dimensions [time][latitude][longitude]):
ph_max (Maximum pH, 1)
ph_ltmax (Long-term maximum pH, 1)
ph_mean (Average pH, 1)
ph_ltmin (Long-term minimum pH, 1)
ph_min (Minimum pH, 1)
ph_range (1)
","ph_ltmax, ph_ltmin, ph_max, ph_mean, ph_min, ph_range"
po4_baseline_2000_2018_depthmax,po4,baseline,2000,2018,depthmax,Bio-Oracle Phosphate [depthMax] Baseline 2000-2018.,"Uses attributes recommended by https://cfconventions.org

cdm_data_type = Grid
VARIABLES (all of which use the dimensions [time][latitude][longitude]):
po4_max (Maximum Phosphate, MMol' 'M-3)
po4_ltmax (Long-term maximum Phosphate, MMol' 'M-3)
po4_mean (Average Phosphate, MMol' 'M-3)
po4_ltmin (Long-term minimum Phosphate, MMol' 'M-3)
po4_min (Minimum Phosphate, MMol' 'M-3)
po4_range (Range Phosphate, MMol' 'M-3)
","po4_ltmax, po4_ltmin, po4_max, po4_mean, po4_min, po4_range"
po4_baseline_2000_2018_depthmean,po4,baseline,2000,2018,depthmean,Bio-Oracle Phosphate [depthMean] Baseline 2000-2018.,"Uses attributes recommended by https://cfconventions.org

cdm_data_type = Grid
VARIABLES (all of which use the dimensions [time][latitude][longitude]):
po4_max (Maximum Phosphate, MMol' 'M-3)
po4_ltmax (Long-term maximum Phosphate, MMol' 'M-3)
po4_mean (Average Phosphate, MMol' 'M-3)
po4_ltmin (Long-term minimum Phosphate, MMol' 'M-3)
po4_min (Minimum Phosphate, MMol' 'M-3)
po4_range (Range Phosphate, MMol' 'M-3)
","po4_ltmax, po4_ltmin, po4_max, po4_mean, po4_min, po4_range"
po4_baseline_2000_2018_depthmin,po4,baseline,2000,2018,depthmin,Bio-Oracle Phosphate [depthMin] Baseline 2000-2018.,"Uses attributes recommended by https://cfconventions.org

cdm_data_type = Grid
VARIABLES (all of which use the dimensions [time][latitude][longitude]):
po4_max (Maximum Phosphate, MMol' 'M-3)
po4_ltmax (Long-term maximum Phosphate, MMol' 'M-3)
po4_mean (Average Phosphate, MMol' 'M-3)
po4_ltmin (Long-term minimum Phosphate, MMol' 'M-3)
po4_min (Minimum Phosphate, MMol' 'M-3)
po4_range (Range Phosphate, MMol' 'M-3)
","po4_ltmax, po4_ltmin, po4_max, po4_mean, po4_min, po4_range"
po4_baseline_2000_2018_depthsurf,po4,baseline,2000,2018,depthsurf,Bio-Oracle Phosphate [depthSurf] Baseline 2000-2018.,"Uses attributes recommended by https://cfconventions.org

cdm_data_type = Grid
VARIABLES (all of which use the dimensions [time][latitude][longitude]):
po4_max (Maximum Phosphate, MMol' 'M-3)
po4_ltmax (Long-term maximum Phosphate, MMol' 'M-3)
po4_mean (Average Phosphate, MMol' 'M-3)
po4_ltmin (Long-term minimum Phosphate, MMol' 'M-3)
po4_min (Minimum Phosphate, MMol' 'M-3)
po4_range (Range Phosphate, MMol' 'M-3)
","po4_ltmax, po4_ltmin, po4_max, po4_mean, po4_min, po4_range"
so_baseline_2000_2019_depthmax,so,baseline,2000,2019,depthmax,Bio-Oracle Salinity [depthMax] Baseline 2000-2019.,"Uses attributes recommended by https://cfconventions.org

cdm_data_type = Grid
VARIABLES (all of which use the dimensions [time][latitude][longitude]):
so_max (Maximum Salinity, PSU)
so_ltmax (Long-term maximum Salinity, PSU)
so_mean (Average Salinity, PSU)
so_ltmin (Long-term minimum Salinity, PSU)
so_min (Minimum Salinity, PSU)
so_range (Range Salinity, PSU)
","so_ltmax, so_ltmin, so_max, so_mean, so_min, so_range"
so_baseline_2000_2019_depthmean,so,baseline,2000,2019,depthmean,Bio-Oracle Salinity [depthMean] Baseline 2000-2019.,"Uses attributes recommended by https://cfconventions.org

cdm_data_type = Grid
VARIABLES (all of which use the dimensions [time][latitude][longitude]):
so_max (Maximum Salinity, PSU)
so_ltmax (Long-term maximum Salinity, PSU)
so_mean (Average Salinity, PSU)
so_ltmin (Long-term minimum Salinity, PSU)
so_min (Minimum Salinity, PSU)
so_range (Range Salinity, PSU)
","so_ltmax, so_ltmin, so_max, so_mean, so_min, so_range"
