"common_name","scientific_name","also_known_as","category","protected_status","region","species_url"
"Sei Whale","Balaenoptera borealis",NA,"Whales","ESA Endangered; MMPA Protected; MMPA Depleted; CITES Appendix I; SPAW Annex II","; AlaskaRegion; New England/Mid-AtlanticRegion; Pacific IslandsRegion; SoutheastRegion; West Coast","https://www.fisheries.noaa.gov/species/sei-whale"
"Seriatopora aculeata Coral","Seriatopora aculeata",NA,"Invertebrates; Corals","ESA Threatened - Foreign; CITES Appendix II","; Foreign","https://www.fisheries.noaa.gov/species/seriatopora-aculeata-coral"
"Short-Beaked Common Dolphin","Delphinus delphis",NA,"Dolphins & Porpoises","MMPA Protected; CITES Appendix II; SPAW Annex II","; New England/Mid-AtlanticRegion; Pacific IslandsRegion; SoutheastRegion; West Coast","https://www.fisheries.noaa.gov/species/short-beaked-common-dolphin"
"Short-Finned Pilot Whale","Globicephala macrorhynchus",NA,"Dolphins & Porpoises; Whales","MMPA Protected; CITES Appendix II; SPAW Annex II","; AlaskaRegion; New England/Mid-AtlanticRegion; Pacific IslandsRegion; SoutheastRegion; West Coast","https://www.fisheries.noaa.gov/species/short-finned-pilot-whale"
"Shortfin Mako Shark","Isurus oxyrinchus",NA,"Fish; Sharks","CITES Appendix II","; New England/Mid-AtlanticRegion; Pacific IslandsRegion; SoutheastRegion; West Coast","https://www.fisheries.noaa.gov/species/shortfin-mako-shark"
"Shortfin Squid","Illex illecebrosus","Illex squid, Summer squid","Invertebrates; Squid; Wild-Caught Seafood",NA,"; New England/Mid-Atlantic","https://www.fisheries.noaa.gov/species/shortfin-squid"
"Shortnose Sturgeon","Acipenser brevirostrum",NA,"Fish; Protected Fish","ESA Endangered; CITES Appendix I","; New England/Mid-AtlanticRegion; Southeast","https://www.fisheries.noaa.gov/species/shortnose-sturgeon"
"Shortspine Thornyhead","Sebastolobus alascanus","Thornyhead, Idiot fish, Idiot cod, Rockfish","Fish; Groundfish; Wild-Caught Seafood",NA,"; AlaskaRegion; West Coast","https://www.fisheries.noaa.gov/species/shortspine-thornyhead"
"Silver Hake","Merluccius bilinearis","Whiting, Atlantic hake, New England hake","Fish; Wild-Caught Seafood",NA,"; New England/Mid-AtlanticRegion; Southeast","https://www.fisheries.noaa.gov/species/silver-hake"
"Small Giant Clam","Tridacna maxima",NA,"Invertebrates; Clams, Mussels, Oysters","ESA Proposed - Threatened; CITES Appendix II","; Pacific Islands","https://www.fisheries.noaa.gov/species/small-giant-clam"
"Smalltail Shark","Carcharhinus porosus",NA,"Fish; Sharks","ESA Candidate","; Southeast","https://www.fisheries.noaa.gov/species/smalltail-shark"
"Smalltooth Sawfish","Pristis pectinata",NA,"Fish; Protected Fish","ESA Endangered; ESA Endangered - Foreign; CITES Appendix I; SPAW Annex II","; Southeast","https://www.fisheries.noaa.gov/species/smalltooth-sawfish"
"Smooth Giant Clam","Tridacna derasa",NA,"Invertebrates; Clams, Mussels, Oysters","ESA Proposed - Endangered; CITES Appendix II","; Pacific Islands","https://www.fisheries.noaa.gov/species/smooth-giant-clam"
"Smoothback Angelshark","Squatina oculata",NA,"Fish; Protected Fish; Sharks","ESA Endangered - Foreign","; Foreign","https://www.fisheries.noaa.gov/species/smoothback-angelshark"
"Sockeye Salmon","Oncorhynchus nerka","Red salmon, Blueback salmon, Redfish, Summer Sockeye","Fish; Wild-Caught Seafood",NA,"; AlaskaRegion; West Coast","https://www.fisheries.noaa.gov/species/sockeye-salmon"
"Sockeye Salmon (Protected)","Oncorhynchus nerka",NA,"Fish; Protected Fish","ESA Endangered; ESA Threatened","; West Coast","https://www.fisheries.noaa.gov/species/sockeye-salmon-protected"
"Southern Right Whale","Eubalaena australis",NA,"Whales","ESA Endangered - Foreign; MMPA Protected; MMPA Depleted; CITES Appendix I","; Foreign","https://www.fisheries.noaa.gov/species/southern-right-whale"
"Sowerby's Beaked Whale","Mesoplodon bidens",NA,"Whales","MMPA Protected; CITES Appendix II; SPAW Annex II","; New England/Mid-Atlantic","https://www.fisheries.noaa.gov/species/sowerbys-beaked-whale"
"Spanish Mackerel","Scomberomorus maculatus","Mackerel, Spotted cybium, Bay mackerel, Spotted mackerel","Fish; Wild-Caught Seafood",NA,"; Southeast","https://www.fisheries.noaa.gov/species/spanish-mackerel"
"Sperm Whale","Physeter macrocephalus",NA,"Whales","ESA Endangered; MMPA Protected; MMPA Depleted; CITES Appendix I; SPAW Annex II","; AlaskaRegion; New England/Mid-AtlanticRegion; Pacific IslandsRegion; SoutheastRegion; West Coast","https://www.fisheries.noaa.gov/species/sperm-whale"
